3237972
/m/090gbq
/m/090gbq
Armstrong Sperry
1940
5 1
a 18
about 1
accepts 1
across 1
afraid 1
after 1
albatross 1
all 1
along 1
altar 2
among 1
an 3
and 11
are 1
as 2
at 2
become 1
begins 1
being 1
below 1
boar 1
book 1
boy 1
built 1
by 3
call 1
cannibals 2
canoe 3
caught 1
chief 1
child 1
chronicles 1
companions 1
courage 2
coward 1
daring 1
days 1
deal 1
deserted 1
designing 1
die 1
does 1
dog 1
due 1
dugout 1
encounters 1
end 1
escape 2
experience 1
father 2
fear 1
figure 1
finds 2
first 1
fish 1
foes 1
for 1
frightened 1
from 2
gaining 1
gathers 1
has 1
have 1
he 12
hikueru 1
him 4
himself 1
his 10
home 1
hunt 2
imposing 1
in 2
including 1
into 2
is 8
island 4
islands 1
it 4
journey 1
kills 1
kivi 1
knowing 1
lands 1
last 1
learning 1
learns 1
lost 1
mafatu 5
main 1
makes 2
making 1
mother 1
natural 1
need 1
neighboring 1
night 1
not 1
nui 1
number 1
numbered 1
ocean 2
octopus 1
of 7
on 4
one 1
overcome 1
pacific 1
pages 1
point 1
proudly 1
realizes 2
recognize 1
referred 1
return 1
returning 1
returnthis 1
sacrificial 1
sail 1
sea 2
set 1
sets 1
shame 1
shark 1
son 1
soon 1
spear 1
storm 1
story 1
successfully 1
summary 2
survive 1
takes 1
tavana 1
terrible 1
that 1
the 17
them 1
then 1
things 2
to 9
transformed 1
tribe 1
tries 1
trip 1
up 1
uri 1
uses 1
village 1
where 1
which 2
who 1
whole 1
wild 1
will 2
with 3
without 1
witnessing 1
yellow 1
young 1
