30146199
/m/0g58_n6
/m/0g58_n6
Anna Russo
2010
{"/m/070wm": "Spirituality"}
2222 1
a 28
about 2
absorbed 1
accompanying 1
accomplished 1
according 1
acquaintance 1
actually 3
adult 1
after 4
afterworld 1
again 1
against 1
age 1
ago 1
ahead 1
alabaster 1
all 16
almost 2
alone 1
already 1
also 1
alternated 1
although 1
always 1
amnestied 1
an 5
and 66
animal 1
animals 1
announced 1
another 1
anxious 1
any 9
anyone 1
appeared 3
are 3
aristocrats 1
army 1
around 2
arrival 1
arrived 3
arriving 1
as 13
asked 1
assured 1
at 7
attained 1
august 2
aware 2
away 4
back 1
banks 1
be 6
became 1
because 2
become 1
been 8
before 1
began 2
beginning 2
begun 1
behaved 2
behind 1
being 4
below 1
besides 1
best 2
better 1
between 1
beyond 2
birth 3
blind 1
blindness 1
boldly 1
book 2
bottom 1
box 1
boy 6
bred 1
bright 1
bring 1
brought 3
burial 1
bushes 1
busy 1
but 15
butterflies 1
by 8
call 1
called 3
calls 1
came 1
can 1
cannot 2
canoe 1
capital 3
carried 1
carry 1
certain 2
chair 1
chamber 1
chang 1
changes 1
channel 1
child 8
chinese 1
chuang 21
chuangs 2
city 3
civil 1
clearly 1
close 1
closed 2
closer 1
coast 1
colored 1
come 1
command 1
commands 1
community 1
compass 1
concludedbut 1
confined 1
confused 1
connects 1
considering 1
construction 1
continue 1
continues 2
contradicting 1
contravening 1
conversation 1
convinced 1
could 3
countries 1
courage 1
court 2
create 1
created 5
creating 1
cruel 1
darkness 1
day 3
dead 2
death 2
deceitful 1
deception 1
decided 2
decision 1
decorated 1
defeat 1
defensive 1
delete 1
denied 1
depicted 1
deported 1
deprived 1
descent 1
described 2
description 2
despite 4
despotic 1
destiny 1
destroyed 1
determined 1
did 5
different 1
direction 1
disappeared 1
disappoint 1
discover 1
discovered 1
discovering 1
dishearten 1
disquieting 1
distinguished 1
distracted 1
divided 1
divine 1
do 5
doubt 1
down 1
dream 1
dreams 1
during 1
e 1
eager 1
earth 3
easy 1
eleven 2
elsewhere 1
emperor 15
emperors 4
empire 1
empress 3
empresss 2
emptiness 1
end 3
enemies 1
enemy 1
energy 1
enter 1
entered 1
entire 1
entitled 1
entrusted 1
essence 1
even 5
event 1
ever 3
every 1
evil 1
exact 1
exactly 1
exclaimedmy 1
existence 2
exists 1
experiment 1
explore 1
extended 1
extension 1
eyes 2
face 3
fact 2
failed 1
faith 1
family 4
far 6
farther 1
faster 1
father 7
faults 1
fear 1
feet 1
figures 1
fill 1
final 1
finally 5
find 1
first 14
fish 1
flowed 1
flying 1
following 1
for 12
forced 3
foresighted 1
forest 1
form 1
found 1
founded 1
four 1
free 1
friend 2
frightened 1
frightening 1
from 13
further 2
furtively 1
future 1
gained 1
garden 2
garments 1
gather 1
gave 2
generated 2
getting 1
glanced 1
gods 1
gone 1
good 1
gotten 1
grating 1
gravely 1
great 2
greatest 1
grip 1
ground 1
grown 1
had 39
happening 1
happily 1
happy 1
hard 1
has 1
haunt 1
have 15
having 3
he 57
heads 1
heard 1
hearts 1
heavy 1
helped 1
her 4
hid 2
hidden 2
hide 1
highest 1
him 17
himself 4
his 40
historical 2
home 2
homes 2
horses 1
hovered 1
how 4
however 1
huangdi 1
hurled 1
i 2
idea 1
if 7
il 1
illegitimated 1
illustrated 1
immeasurable 1
immense 2
imperatore 1
imploring 1
impression 1
in 29
including 1
inflicted 1
inform 1
instead 1
instrument 1
intention 1
into 2
invention 1
investigate 1
investigation 1
is 7
island 1
islands 1
it 18
itchuang 1
its 5
joyful 1
judging 1
just 4
king 1
kingdom 3
knew 5
know 2
knowledge 1
known 1
labor 1
lai 1
lands 2
largest 1
latest 1
leave 1
left 2
li 1
lie 1
life 3
like 3
line 1
little 2
live 1
lived 1
living 1
long 2
longer 1
longing 1
looked 4
lose 1
lost 2
lus 1
made 2
magnificence 1
make 2
making 2
man 2
manner 2
mansion 1
mantle 1
many 2
map 2
marvelous 1
may 3
me 2
meaning 1
meant 1
meantime 2
meanwhile 1
measures 1
mechanism 1
men 2
mentioned 2
messages 1
middle 4
minister 1
moment 3
more 1
morning 2
most 4
mother 4
motionless 1
mountains 1
mouth 1
move 1
moved 1
much 3
murmur 1
must 1
my 3
mysterious 2
mythological 1
name 3
nature 1
near 1
neither 2
never 6
new 1
news 2
nicely 1
no 5
noble 1
nobody 2
noise 1
nor 4
nose 1
not 24
noticed 1
now 8
nowhere 1
number 1
obscurity 1
obtain 1
obviously 1
of 60
off 2
on 12
one 7
only 4
opened 1
opposite 1
oppression 1
or 6
order 1
ordered 1
orders 1
other 2
others 1
our 1
out 3
over 4
paid 1
pain 1
palace 10
pale 1
pangjangsan 1
paradise 1
particular 1
passed 1
past 1
pelting 1
penalties 1
peng 1
people 3
perfect 1
place 4
placed 1
please 1
plotting 1
poisoned 1
pongnaesan 1
possible 1
power 2
powerful 1
predicted 1
presence 2
presume 1
preventive 1
price 1
pride 1
primo 1
prisoners 1
progeny 1
pronounced 1
propitiatory 1
proud 1
proudly 1
proved 1
punished 1
punishment 1
put 1
puzzled 1
qi 11
qin 2
qis 6
quickly 1
raised 1
rather 4
realized 2
reason 1
rebellion 1
recommendations 1
reemerged 1
refuge 1
registered 1
reign 3
reigned 1
remained 3
remains 1
repeated 1
responsible 1
rest 1
return 4
returned 3
reveal 1
revenge 1
reviving 1
right 1
righteous 1
rites 1
river 1
road 1
role 1
room 3
rosecolored 1
route 1
rushed 1
said 2
saidmy 1
sail 1
salted 1
same 5
sank 1
saved 1
saw 3
say 3
schemes 1
scribe 6
scribes 1
sea 5
search 2
second 1
secret 4
see 3
seemed 1
seen 1
sees 2
sentences 1
servant 2
servants 3
service 1
set 1
shall 1
she 1
shi 2
shocked 1
shortly 1
shoutedyour 1
sickness 1
side 1
sides 1
sight 1
silence 3
silk 1
silkworms 1
simple 1
since 1
six 1
skin 1
slowly 1
small 2
smallest 1
smile 1
smiled 1
so 6
some 3
someone 2
something 1
son 4
soon 1
sorrow 1
sort 1
sought 1
sounds 1
sovereignty 1
speak 2
speaking 1
spoke 2
spontaneously 1
spot 1
stars 1
start 1
state 1
states 1
step 1
still 4
stopped 2
storm 1
strongest 1
subtle 1
successor 1
suddenly 2
suggestions 1
sure 1
surface 1
surprise 1
suspected 1
swindling 1
systematically 1
tablet 1
take 1
taken 1
tell 2
terracotta 1
terrible 2
text 1
than 2
thanks 3
that 46
the 167
their 5
them 2
then 6
there 3
therefore 1
these 2
they 2
thing 3
things 2
think 1
this 6
those 3
thoughts 1
thousands 1
thread 1
three 2
threehundredandsixtyfive 1
threw 1
thus 2
time 9
title 1
to 64
today 2
told 2
too 2
took 1
touched 1
towards 1
trapped 2
trip 1
trusted 1
tse 10
tses 2
tunnel 1
turned 1
tyrant 1
unconsciously 1
under 2
understood 2
undertook 1
unexpectedly 1
unified 1
unknown 3
unprepared 1
until 1
unusual 1
up 4
us 1
use 1
valorous 1
very 2
victim 1
violent 1
visible 1
waited 1
wall 3
war 1
warned 1
was 52
watch 1
water 1
waves 2
way 2
we 3
wearing 1
well 1
were 5
what 4
when 3
wherever 1
which 13
while 4
whisper 1
white 1
who 6
whom 1
wife 1
wisely 1
with 12
within 1
without 3
wonderful 2
words 2
worked 1
working 1
world 14
worthily 1
would 9
written 1
yearned 1
years 3
yellow 2
yet 4
ying 1
yngjusan 1
you 1
zhen 1
zheng 1
