21385752
/m/05f9ldq
/m/05f9ldq
Phillip Gwynne

a 3
able 2
about 1
after 1
afterparty 1
an 1
and 6
as 2
at 1
award 1
bar 1
be 2
been 2
believes 1
best 1
bestowed 1
blacky 5
breakdown 1
brothers 2
but 1
by 1
carries 1
coaches 1
come 1
confident 1
coward 1
dead 1
deal 1
defence 1
devised 1
do 1
dodge 1
dodging 1
dumby 2
during 1
elaborate 1
emotional 1
end 1
ends 1
final 1
first 1
following 1
given 1
grand 1
ground 1
happy 1
has 1
have 2
he 5
him 1
himself 2
his 7
honour 1
however 2
imminent 1
importance 1
in 4
is 6
it 1
join 1
life 1
like 1
looks 1
making 1
manner 1
morning 1
much 1
new 1
news 1
novel 2
of 7
on 1
opens 1
opponent 2
peace 1
player 1
problems 1
protect 1
public 1
really 1
red 1
relationship 1
reports 1
responsibility 2
resulting 1
robbing 1
ruck 1
shot 1
should 1
siblings 1
similar 1
sisters 1
so 1
son 1
soon 1
spends 1
stand 2
star 1
summer 1
tackle 2
team 1
teams 2
that 4
the 22
thumper 2
to 4
trying 1
two 1
ultimate 1
understands 1
unstoppable 1
upon 1
which 2
while 1
will 3
winter 1
with 5
worried 1
