1583258
/m/05d8dx
/m/05d8dx
Terry Pratchett
2000
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 23
about 3
actually 2
advertising 1
afoot 1
after 1
against 1
all 1
allow 1
ambivalent 1
ams 1
an 2
and 31
angry 1
ankhmorpork 5
anonymous 2
any 1
appearance 1
application 1
are 1
arguing 1
argument 1
around 1
arrive 1
as 4
assembled 1
at 1
atmosphere 1
attacks 1
attempted 1
attracts 1
axes 1
be 5
before 2
beggar 1
beggars 1
begins 1
behind 1
between 1
big 1
birds 1
black 1
blackmails 1
blood 1
bone 1
borrow 1
brains 1
break 1
breaks 1
bringing 1
business 1
but 3
by 3
cakes 1
camera 1
can 2
capturing 1
cash 1
catch 1
cats 1
cellar 1
cellars 1
chance 1
charges 1
cities 1
citizens 1
city 6
cleared 1
come 1
comes 1
committee 2
common 1
competing 1
confront 1
conspiracy 1
cope 1
copies 2
corpse 1
cows 1
crew 2
criminal 1
cripslock 1
crisis 1
crossbow 1
crowd 1
dark 1
date 1
day 3
de 2
deadlines 1
deals 1
death 1
deep 1
depose 1
desk 1
destroyed 2
discovers 1
discuss 1
disintegrates 1
do 1
does 2
doesnt 1
dog 1
dogs 1
doings 1
down 2
dramatic 1
drinking 1
drives 1
dwarven 1
dwarves 3
effect 1
effort 1
embezzlement 1
emerges 1
end 1
enough 2
ensuing 1
escape 1
establishing 1
estranged 1
even 2
evening 1
events 1
every 3
evidence 1
exactly 1
except 1
expand 1
explodes 1
exposed 1
extra 1
fall 1
falls 1
family 2
father 2
few 1
fictionfilled 1
fill 1
find 2
finer 1
fire 2
firm 4
firms 1
first 1
flash 1
flee 1
flirtatious 1
follow 1
for 7
forcing 1
foreign 2
founds 1
frame 1
free 1
from 8
further 1
gaspode 1
gathered 1
ghosts 1
go 1
goes 3
gossipy 1
group 2
guards 1
guildcontrolled 1
guilds 1
has 4
have 2
he 7
hear 1
help 1
helps 1
hide 1
hideout 1
him 3
himself 1
hire 2
hiring 1
his 8
hitch 1
hopefully 1
hoping 2
hot 2
humble 1
hundreds 2
if 2
impaled 1
in 17
inadvertent 1
inadvertently 1
including 2
influential 1
information 2
inquirer 1
inquirers 1
interesting 1
intimidate 1
investigate 1
irate 1
is 9
isnt 1
it 5
items 1
just 3
killed 1
known 1
knows 2
lamp 1
largely 1
larger 1
lead 1
leading 1
leaks 1
life 1
lifestyle 1
light 1
like 2
local 1
looks 1
lord 4
lunch 1
magical 1
make 2
makes 1
making 1
man 1
manage 1
manor 1
mans 1
many 1
may 1
meanwhile 2
melted 1
members 1
memo 1
mercenaries 1
merit 1
method 1
missing 1
mistake 1
mob 1
moment 1
money 2
moral 1
more 2
mr 3
much 1
murder 1
murdering 1
must 1
name 1
named 1
new 8
news 1
newsheets 1
newsletter 2
newspaper 1
newsroom 1
next 1
normally 1
not 2
notables 1
now 1
oddball 1
of 21
off 4
office 1
offices 3
often 1
on 5
once 1
one 3
only 2
open 1
operates 1
or 3
other 1
others 1
otto 3
ottos 1
out 5
outside 1
own 3
pair 1
paper 1
partially 1
partner 1
patrician 4
photographer 1
photography 1
pin 6
pitch 1
plan 1
plans 1
pocket 1
points 1
power 1
powerful 1
powers 1
preparing 1
press 6
presses 1
pressure 1
prim 1
print 1
printing 2
prized 1
producing 1
public 3
put 1
quasiliterate 1
realizing 1
recognized 1
recovery 1
refuge 1
reincarnation 1
remorseless 1
resolves 1
resorts 1
return 1
revenge 1
reward 1
rocky 1
role 1
roof 1
sacharissa 3
sane 1
save 1
scandalous 1
scene 1
scrambling 1
scraping 1
scribe 1
seized 1
sell 2
sense 1
set 2
shape 1
sheep 1
shocked 1
shop 1
showing 1
so 1
someone 1
space 1
spike 1
squeezing 1
staff 4
standing 1
story 2
strange 1
street 1
struggle 1
subscribers 1
sudden 1
sworn 1
take 2
talkative 1
talking 1
tell 1
tense 1
terrier 2
than 1
that 9
the 77
their 2
them 4
threats 1
through 1
thug 1
time 1
times 7
tipster 1
to 29
too 1
track 1
triggering 1
troll 1
truth 1
trying 2
tulip 3
uberwald 1
unelect 2
unexpected 1
up 2
using 1
vampire 1
variety 1
vetinari 2
vetinaris 2
victims 1
villainous 1
wagon 1
want 1
wants 1
watch 1
wealthy 2
welcomed 1
what 2
when 4
which 1
while 2
who 8
wide 1
will 1
william 14
williams 3
with 11
without 1
witness 1
woman 1
worde 2
world 1
worth 1
would 1
wuffles 5
young 1
