8517053
/m/027687_
/m/027687_
James Patterson
2003
a 9
able 2
addition 1
agency 1
alex 1
also 1
and 6
andrei 1
any 1
arrest 1
as 2
assigned 1
assistance 1
at 4
be 1
been 2
believes 1
by 1
case 1
central 1
city 1
clients 1
college 1
contacting 1
cross 3
custody 1
dead 1
department 1
discovers 1
dr 2
end 1
ends 1
eventually 1
fact 1
fbi 4
federal 1
fits 1
for 1
government 1
hands 1
has 2
he 1
her 1
hightech 1
him 2
his 3
housewife 1
human 1
identify 1
identity 1
in 4
intelligence 1
into 2
is 7
it 1
judge 2
key 1
kidnap 1
kidnapped 1
kidnapping 3
kidnappings 1
known 1
large 1
male 1
man 1
manages 1
method 1
middle 1
mobster 1
mole 1
mystery 1
name 1
new 1
novel 1
of 7
on 1
only 1
other 1
pattern 1
people 1
person 1
player 1
police 1
prokopev 1
recent 1
remain 1
revealed 1
ring 1
russian 2
secret 1
secure 1
selling 1
service 1
several 1
sexual 1
slavery 1
still 1
students 1
subordinates 1
take 1
that 2
the 20
them 1
though 2
through 1
to 6
trafficking 1
training 1
true 1
up 1
very 1
website 1
when 1
whereabouts 1
wife 2
with 1
wolf 4
work 1
york 1
