474204
/m/02dwfm
/m/02dwfm
Isaac Asimov
1952
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
11000 1
150s 1
1th 1
34500 1
a 15
about 1
accept 1
accepted 2
according 1
ad 2
add 1
africa 1
already 1
also 3
amenable 1
america 1
american 1
amnesia 1
an 1
analogous 1
and 9
anywhere 1
are 6
around 1
as 1
asimov 2
at 1
attempts 1
backdrop 1
be 4
because 2
become 1
been 2
being 2
between 2
break 1
but 1
buy 1
by 8
can 2
cannot 1
carbon 1
categories 1
causes 1
cellulose 1
century 1
characters 1
chose 1
chronology 1
clear 1
colonies 1
comes 1
conditions 1
contains 1
control 1
cotton 2
country 1
crisis 1
currents 2
darkestskinned 1
darkskinned 1
derives 1
destruction 1
device 1
discovered 1
does 1
dominion 1
dr 1
duplicated 1
during 1
early 1
earth 3
easily 1
emitted 1
empire 4
enable 1
encompasses 1
energetic 1
entire 1
european 1
evacuating 1
even 1
except 1
explain 1
explained 1
explains 1
explanation 1
explode 1
exploits 1
far 1
fed 1
feels 1
fiber 2
fields 1
florina 8
florinians 3
fluorescent 1
for 2
forced 1
forgotten 1
freed 1
from 6
full 1
galactic 1
galaxy 3
galaxywide 1
generally 1
genetic 1
go 1
going 1
gradually 1
great 1
gross 1
grow 3
growing 2
grown 2
habitable 1
had 2
half 1
has 1
have 2
he 2
hidden 1
high 1
highquality 1
his 2
however 1
human 1
idea 1
imperial 1
in 6
independent 1
inferior 1
inheritance 1
insists 1
into 1
involving 1
irony 1
is 18
it 6
its 4
junz 1
kyrt 7
labor 1
large 1
largely 1
last 1
libair 2
liberia 2
light 1
lightestskinned 1
like 2
long 1
losing 2
lost 1
manipulated 1
mean 1
meanwhile 1
mentioned 1
message 1
millions 1
mind 1
monopoly 1
more 1
name 2
native 1
not 2
nova 3
now 2
occurs 1
ocean 1
of 17
offer 1
offers 1
on 3
one 3
only 2
original 1
originally 1
other 2
out 1
outerspace 1
over 1
parallels 1
past 1
people 3
place 1
planet 6
planets 3
political 1
possible 1
power 1
powers 1
predicted 1
price 1
probe 1
produces 1
psychic 1
quite 1
race 2
racial 1
radioactive 1
rare 1
rarer 1
rather 2
readily 1
really 1
regional 1
rejected 1
relationship 1
remembering 1
resistance 1
resulting 1
revealed 1
rik 4
rise 1
roughly 1
sark 6
sarkites 1
seem 1
selim 1
settled 1
similar 1
since 2
situation 1
slave 1
slaves 1
some 1
source 1
south 1
space 1
spatioanalyst 1
special 1
stars 2
starts 1
still 1
story 2
strong 1
strongly 1
sun 2
supposedly 1
sympathy 1
takes 2
that 11
the 41
their 1
there 4
these 1
they 2
this 3
though 2
thus 1
to 16
trantor 5
trantorian 1
treated 1
two 2
understood 1
unifying 1
unsuccessful 1
vast 1
versatile 1
very 2
was 1
wavelength 1
wealth 3
what 1
when 4
where 2
which 1
who 1
why 1
with 3
work 1
worlds 3
would 3
year 1
yet 1
