4312374
/m/0bwhs4
/m/0bwhs4
Steve Alten
1999-05
{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 18
about 1
abyss 1
adulthood 1
after 6
afterwards 2
air 1
airlock 1
all 1
along 3
also 3
an 4
and 29
anesthetic 1
angel 19
another 1
antagonist 1
apart 1
are 3
area 2
as 5
assaults 1
assistant 1
assisted 1
at 6
attacks 2
attempting 1
attempts 4
attracting 1
avoiding 1
bankers 1
bankrupt 1
barrel 1
barrier 1
be 1
becomes 1
before 1
begins 1
being 3
believed 1
benedict 4
benthos 3
bin 1
birth 1
bite 1
blood 1
board 1
boarding 1
boards 1
body 1
book 2
boys 1
bursts 1
but 5
by 12
called 3
captain 2
carcasses 1
causing 1
caution 1
celeste 11
changing 1
check 1
conclude 1
containing 2
control 1
coping 1
corpse 1
couldnt 1
create 1
crew 1
crewman 1
damaged 1
dart 1
daughter 1
death 1
decided 1
deep 1
described 1
destabilizing 1
destroyed 1
devil 3
did 1
die 1
died 2
discovers 1
discuss 1
dispute 1
distribution 1
dives 1
does 1
drug 1
dubbed 1
due 1
during 1
dying 1
eaten 1
eating 1
egotistical 1
emitted 1
encountered 1
end 2
ends 2
energy 1
enter 1
environment 1
epimethius 2
escape 3
escapes 1
estrus 1
events 1
evolved 2
expedition 1
exploit 2
exploring 1
fails 1
failure 1
falsely 1
father 2
fearsome 1
filled 1
financial 1
find 3
finds 1
fire 1
fires 1
first 3
flee 1
follows 1
for 5
forced 1
former 1
four 1
frees 1
friend 1
from 2
full 1
fusion 1
gained 1
gas 1
gates 1
get 1
gigantic 1
gills 1
giving 2
glider 1
goes 1
going 1
great 1
had 1
harass 1
harry 1
has 6
hauls 1
havoc 1
he 10
head 1
heading 2
heads 1
heath 1
held 1
helium3 1
hell 1
help 1
her 11
herself 2
hide 1
him 4
his 5
hoping 1
hoppe 1
hospital 2
however 5
human 1
hunt 1
ill 1
immediately 1
implode 1
implosion 1
impregnate 2
impregnated 1
in 20
including 2
instinct 1
institute 3
interestingly 1
into 10
is 20
it 5
its 2
jonas 15
jumps 1
kill 2
killed 2
killing 8
kills 3
knowing 1
kronosaur 4
kronosaurs 2
kronosaurus 1
laden 1
last 3
later 1
lawsuits 1
least 1
leaving 1
led 1
life 1
like 1
live 1
located 1
location 2
lock 1
look 1
loyal 1
lunch 1
lures 1
mac 2
made 1
main 2
males 3
manage 1
manages 3
many 1
maren 2
mariana 1
marine 1
married 1
masao 1
mate 1
maw 1
meanwhile 2
meet 1
meg 1
megalodon 2
megs 1
mentioned 1
mercy 1
michael 3
mission 2
mogul 1
monster 1
moon 1
mother 3
murdered 1
mysterious 1
named 2
navy 1
nearly 7
next 1
nightmares 1
not 2
novel 2
now 2
obsession 1
of 25
off 1
on 5
once 1
one 7
operation 1
osama 1
out 2
owner 1
pacific 2
packs 1
paleobiologist 1
paralyzes 1
patches 1
path 2
people 1
planned 1
plexiglas 1
prehistoric 2
pressure 1
primal 1
process 1
prometheus 1
proteus 1
pups 2
purgatory 3
pursues 1
rampage 1
rape 1
rare 1
reached 1
real 1
realizes 1
realizing 1
recapture 1
records 1
regular 1
released 1
remains 1
repeatedly 1
reptile 1
rescues 1
research 2
rest 1
resulting 1
return 2
returns 1
revealing 2
revenge 2
right 1
ring 1
ripped 1
robot 1
robots 1
rocks 1
room 1
rushed 2
russian 1
sadistic 1
saved 1
scarface 1
scars 1
scent 1
scientist 1
sea 3
seal 1
seals 1
secret 1
secretly 1
sedate 1
seduce 1
see 1
seeking 1
sergei 4
several 1
shark 1
she 12
ship 1
singer 10
singers 1
smashing 1
sneak 1
so 1
sonar 1
soon 1
station 1
stealing 1
stop 2
stumbled 1
sub 1
submersible 1
subs 2
suffocates 1
surface 2
surrounding 1
survived 1
suspicion 1
tanaka 3
tank 2
tasted 1
taylor 1
teenage 1
tells 1
territory 1
terry 9
that 2
the 72
their 1
them 1
then 1
there 1
they 4
third 1
this 3
three 1
through 2
thus 1
to 35
tootie 1
top 1
track 1
transmitter 1
trench 9
tricked 1
tries 1
two 3
under 1
undersea 1
unis 3
unlatching 1
up 3
upon 1
use 1
used 1
usually 1
via 1
vicious 1
villain 1
vows 1
walk 1
walls 1
was 6
water 1
waters 1
way 1
weapon 1
whale 1
whales 1
where 5
which 6
while 2
white 1
who 10
will 1
williams 1
with 15
within 1
women 1
words 1
working 2
world 1
wound 1
wreaking 1
years 1
you 1
young 1
zodiac 1
