14036283
/m/03crqfn
/m/03crqfn
Gillian Cross

{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
15 1
200 1
500 1
a 17
after 4
again 1
agree 1
agreeing 1
ahead 1
along 2
already 1
an 1
and 41
another 1
appoints 1
are 5
around 1
arrive 1
arrived 1
arrives 1
as 7
ashore 1
asserts 1
assures 1
aunt 1
barge 2
be 2
becomes 2
been 1
before 1
begins 1
being 1
belongs 2
boat 3
bossed 1
boy 2
brandishing 1
but 1
by 9
cairo 3
can 1
captain 1
carry 1
catch 2
caught 2
changed 1
childbirth 1
cissie 13
claim 2
coal 1
community 1
confined 1
continues 1
could 2
cramped 1
crash 1
cripple 1
crippled 1
crowd 2
cure 1
cured 1
dark 1
daughter 2
days 1
deaths 1
desolate 1
died 1
direction 1
discovered 2
discovers 1
disembark 1
disembarked 1
disguising 1
does 1
down 1
drink 1
each 1
earnings 1
elders 1
eldest 1
elephant 11
escape 1
esther 9
eventually 1
exchange 1
existing 1
exposing 1
fact 1
faked 1
fakes 1
father 1
few 1
fictional 1
find 1
flatboat 1
follows 1
for 5
forcing 1
friend 1
friendly 1
friends 2
from 4
gets 1
girl 1
give 1
giving 1
go 1
goes 1
group 1
had 1
has 2
have 6
hawkins 1
he 9
heard 1
heartache 1
help 1
helped 1
helps 1
her 6
herself 2
hide 1
hides 1
hiding 1
him 8
himself 2
hired 1
his 9
hold 1
home 2
hot 1
house 1
how 1
however 4
humiliated 1
hurries 1
husband 1
if 1
impatient 2
in 20
information 1
insists 1
intended 1
into 5
irritable 1
is 10
jackson 13
job 1
journey 2
just 2
keenan 7
keenans 2
keep 1
keeper 3
ketty 10
khush 20
kills 1
kind 1
kindly 1
large 2
leading 1
leave 1
leaves 1
leaving 1
left 1
life 2
little 1
lives 1
loaded 1
lodger 1
looking 1
love 1
luckily 1
make 1
markle 2
matter 1
meet 1
michael 1
miles 1
mining 1
miracle 1
money 1
most 1
mother 1
mr 13
much 1
near 2
nebraska 3
nebraskan 1
no 1
not 4
now 1
nowhere 1
of 12
off 1
offers 1
ohio 1
old 2
olivia 1
on 13
only 3
other 1
over 1
overbearing 1
ownership 1
owns 1
papers 3
passage 1
past 1
pennsylvania 1
person 1
persuades 1
petitions 1
pitches 1
pittsburgh 1
plains 1
pleased 1
ply 1
port 2
portion 1
prey 1
prove 1
pursuers 2
pursuit 1
quarters 1
rage 1
refuses 1
religious 1
remain 1
rest 2
reunited 2
reveal 1
reveals 1
river 3
riverbank 1
rocks 1
sail 1
sailing 1
same 1
scam 2
secretly 1
secures 1
see 1
seeing 2
sees 1
sell 2
servant 1
set 1
she 5
should 1
show 2
shows 1
sign 1
sister 1
small 2
so 2
sold 2
spots 1
spurred 1
stalls 1
surroundings 1
surviving 1
tad 17
tail 1
take 3
taken 1
takes 1
that 13
the 51
their 6
them 8
they 3
thought 1
three 2
to 30
towards 1
town 3
trailer 2
train 1
travellers 2
travelling 3
treats 1
trick 1
try 1
two 1
unpaid 1
up 3
upset 1
walking 1
wants 1
was 2
water 1
way 6
were 1
west 1
what 1
when 4
where 1
which 2
while 1
who 4
widower 1
will 1
with 9
witnessing 1
woman 1
years 1
young 1
younger 1
youths 1
