19259297
/m/04ljt37
/m/04ljt37
Magnus Mills
2001-06-04
a 5
an 1
and 2
as 1
at 1
being 1
by 2
canyon 2
cause 1
charismatic 1
comes 2
community 2
companionship 1
digging 1
edge 1
enigmatic 1
established 1
feels 1
figure 1
first 1
followers 1
from 1
gaining 1
gets 1
gradually 1
happy 1
he 2
him 1
his 4
house 1
houses 1
in 2
increasing 1
infrequently 1
is 2
isolated 1
join 2
live 1
lives 1
lonely 1
meets 1
miles 1
more 2
moving 1
nameless 1
narrator 3
nearest 1
neighbours 2
new 2
news 1
of 2
on 2
one 2
plain 2
pressure 1
project 1
quite 1
revolutionary 1
sandy 1
self 1
situated 1
sufficiency 1
the 8
their 1
them 1
then 1
tin 2
to 5
under 1
unexpectedly 1
unsettled 1
until 1
used 1
who 1
whom 1
windswept 1
with 1
woman 1
yet 1
