1530229
/m/058f7d
/m/058f7d
Cormac McCarthy
1974
{"/m/039vk": "Gothic fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
160s 1
a 5
about 1
and 11
are 1
as 4
associated 1
attempt 1
ballard 4
becomes 1
behind 1
cave 1
cavedweller 1
child 2
community 1
communitys 1
consciousness 1
corpses 1
county 1
crime 1
culture 1
deeper 1
degradation 1
dehumanized 1
deprived 1
descends 1
describes 1
describing 1
disastrous 1
dispossessed 1
dweller 1
dying 1
each 1
ends 1
evergrowing 1
exist 1
falls 1
few 1
figuratively 1
first 1
frame 1
from 4
god 2
goes 1
group 1
haunt 1
have 1
he 2
his 2
historical 1
homes 1
in 5
inanimate 1
incarceration 1
increasingly 2
into 1
is 2
isolation 1
killer 1
leave 1
lester 3
level 1
life 1
like 1
literally 1
longhidden 1
man 1
mountainous 1
much 1
mutilated 1
mythology 1
narrator 1
narrators 1
necrophile 1
novel 4
of 10
order 1
other 1
outside 1
parents 1
part 1
parts 1
perhaps 1
phenomena 1
premodern 1
protagonist 1
retrospectively 1
second 1
segment 1
segments 1
serial 1
set 1
sevier 1
sevierville 1
social 1
society 1
squatter 1
story 1
structured 1
subterranean 1
successively 1
tell 1
tells 1
tennessee 1
that 1
the 16
third 1
three 1
ties 1
to 4
unearthed 1
unidentified 1
us 1
victims 1
violent 1
we 1
while 1
who 1
whom 1
with 3
within 1
yourself 1
