508403
/m/02js8_
/m/02js8_
Alan Garner
1967
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 30
abasing 1
aberystwyth 2
about 6
above 1
abruptly 1
admits 1
affects 1
again 1
air 2
alison 20
all 4
almost 1
along 1
also 2
although 1
always 2
amount 1
an 4
ancestors 1
ancient 1
and 42
antique 1
any 2
appears 1
are 3
around 2
as 7
asserts 1
at 6
attempt 1
attempting 1
attempts 1
attic 2
attitude 1
attitudes 1
attraction 2
avail 1
avoid 1
away 4
back 2
background 1
banknotes 1
be 1
because 1
become 1
becomes 1
becoming 1
bed 1
been 4
before 2
began 1
begins 3
begs 1
behaving 1
bertram 5
betrayed 1
between 3
billiard 1
birds 1
bit 2
blank 2
blodeuwedd 2
blood 1
bond 1
bored 1
born 1
boys 1
branches 1
bringing 1
british 1
brought 1
buildings 1
businessman 1
but 10
by 14
calling 1
can 1
cares 1
carved 1
ceiling 2
charges 1
chased 1
circumstances 1
circus 1
clannish 1
claw 1
clear 2
clive 4
closedranks 1
club 1
collapses 1
columns 1
come 3
comes 3
comfort 1
comments 1
competition 1
completing 1
connection 1
constantly 1
convince 1
cook 1
cottage 3
could 1
course 1
courtesy 1
cousin 1
covered 1
crack 2
creations 1
crisp 1
cross 1
dangerous 1
death 2
demands 1
desperate 1
despite 2
destroying 1
died 2
dinner 2
directs 1
disappear 1
disappeared 1
disaster 1
discovers 1
distance 2
domestic 1
done 1
drive 1
dust 1
duties 1
duty 1
each 1
eagles 1
earn 1
education 1
efforts 1
elocution 1
else 2
end 1
entire 1
escorts 1
even 2
events 1
eventually 3
everyone 1
everything 1
exists 1
expected 1
exposing 1
expresses 1
eyes 1
fall 1
falls 1
family 2
father 3
feathers 3
feel 1
feels 1
few 2
filled 1
final 1
finally 1
find 1
finding 1
finds 4
fine 1
first 2
flame 1
flat 1
flitch 1
floral 1
flowers 3
flying 1
folded 1
folds 1
follows 1
for 3
force 1
forced 1
former 3
formerly 1
friendliness 1
friendly 1
from 6
further 1
garden 1
gardener 1
garner 1
gas 1
gear 1
generation 1
ghost 1
give 2
given 1
go 1
going 1
gradually 1
gramophone 1
greets 1
grip 1
grocery 1
gronw 3
gwyn 21
had 1
halfbacon 1
handyman 1
happens 1
happy 1
harassed 1
has 11
hatred 1
have 3
having 1
he 19
head 1
hears 2
her 18
here 1
herself 1
hiking 1
hill 1
him 6
himself 4
his 8
holding 1
hole 1
hostile 1
hours 1
house 5
how 2
hugh 1
huw 16
improve 1
improveaprole 1
in 23
including 1
inexplicable 1
inherited 1
initial 1
instead 1
intelligent 1
into 2
intricate 1
investigate 1
irrevocably 1
is 26
isolated 1
it 11
keep 2
killed 1
kind 1
kitchen 1
knock 1
known 2
knows 2
large 1
last 1
lay 1
leave 3
leaving 1
left 1
legend 3
lessons 1
lest 1
let 1
like 1
liked 1
line 1
live 1
lleu 1
lock 1
locked 2
long 1
loose 1
lot 1
lounging 1
made 2
magic 1
maintains 1
make 1
makes 2
making 1
margaret 3
marks 1
married 1
marry 1
marsh 1
membership 1
men 1
merely 1
middleclass 1
midnight 1
mistress 1
models 1
mollified 1
money 1
more 1
most 1
mother 5
motorcycle 2
motorcycles 1
much 1
mysterious 4
nancy 6
near 1
neatly 1
need 1
never 2
new 1
next 2
no 3
noises 3
not 3
nothing 2
notoriously 1
notwithstanding 1
now 1
obsessed 1
occupants 1
occupy 1
odd 2
oddly 1
of 36
off 1
offered 1
officer 1
on 8
once 1
one 7
only 1
onto 1
order 1
original 1
other 1
others 1
out 4
outside 1
over 4
overt 1
owl 5
owldecorated 1
owls 6
own 1
owned 1
pack 1
pain 1
painted 1
painting 1
pair 1
paper 3
part 1
particular 1
pattern 3
patterns 2
pay 1
peaceful 1
pebbledash 1
peculiarly 1
persuades 1
petals 1
picks 1
place 2
plate 4
plates 5
portrait 1
poverty 1
power 1
presides 1
pressing 1
prevails 1
privileges 1
produces 1
pronouncements 1
quit 2
raf 1
rages 1
rather 1
rationally 1
real 1
realising 1
records 1
reenact 1
remain 1
remark 1
removes 1
repeatedly 2
resentment 1
responsible 1
result 1
resume 1
return 1
reveals 1
ride 1
ridiculing 1
right 1
ringmaster 1
rise 1
river 1
road 1
roger 8
room 4
run 1
sabotaged 1
sabotaging 1
say 1
says 2
school 1
scratching 1
scream 1
script 1
see 2
seeing 1
seems 2
seen 1
sees 1
shame 1
she 15
sheepdogs 1
shield 1
shot 1
should 1
shouts 1
side 1
sides 1
simultaneously 1
sister 1
skin 1
skylight 1
slides 1
smashing 1
so 1
some 5
someone 1
something 5
somewhere 1
son 2
sound 1
sounds 1
spear 2
spending 1
stacks 1
staff 2
stay 1
stealing 1
stepbrother 1
stereotypical 1
stone 7
store 1
storeroom 1
stories 1
storm 1
strange 1
stuffed 1
subsequently 1
substantial 1
subtext 1
such 1
summer 1
swirl 1
take 2
taken 1
takes 1
television 1
tells 2
tennis 1
tensions 1
than 1
that 10
the 90
their 1
them 4
themselves 1
then 4
there 2
they 3
things 2
this 6
those 1
though 3
threatens 1
through 6
throwing 1
time 4
to 49
together 2
toils 1
told 1
totally 1
toward 1
towards 1
trace 1
traced 1
traces 2
tracing 1
transferred 1
trashy 1
tree 2
tries 3
trinket 1
true 1
trying 1
turn 1
two 1
unfaithful 1
until 1
up 4
upper 1
vacation 1
valley 5
various 1
very 3
villagers 1
visions 1
waiting 2
wales 1
walking 1
walks 2
wall 2
walls 1
wants 1
warns 1
was 4
weather 1
weeks 1
were 1
when 2
where 4
which 2
while 1
white 1
who 3
wife 1
windows 1
with 11
woman 1
woods 1
work 1
worsens 1
would 2
wrecks 1
writhes 1
yells 1
