11998575
/m/02vlfbz
/m/02vlfbz
MaryJanice Davidson
2007-11-27
a 2
all 1
and 5
annoyed 1
aquarium 1
artur 2
as 3
at 3
badly 1
barb 1
been 2
being 1
best 1
between 1
biological 1
blind 1
boss 1
by 2
dates 1
days 1
decision 1
declared 1
discover 1
discovers 1
dr 1
ended 1
father 1
folk 1
for 1
fred 4
friend 1
has 2
have 2
her 5
identity 1
is 1
jonas 1
left 1
love 1
makes 1
of 1
on 1
passed 1
passing 1
pelagic 2
presence 1
relationship 1
requesting 1
setting 1
she 1
since 2
surprised 1
the 4
their 1
then 2
they 1
thomas 2
to 1
two 1
undersea 1
up 1
various 1
well 2
which 1
working 1
year 1
