13178040
/m/03by56m
/m/03by56m
James Patterson
2008-03-17
{"/m/01hmnh": "Fantasy", "/m/06n90": "Science Fiction", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
21 1
4 1
a 17
ability 2
academy 1
administration 1
afraid 1
after 4
agreeing 1
aka 1
all 2
almost 1
amidst 1
an 5
and 19
angel 3
another 1
antarctica 2
appearance 1
are 5
ari 1
arrives 1
as 6
asleep 1
at 2
atmosphere 1
attacked 1
attempt 1
attempting 1
attend 1
attending 1
attract 1
attractive 1
awakes 1
away 1
baby 1
be 1
been 1
begins 1
being 1
best 1
between 1
big 1
blend 1
bliss 1
blizzard 1
body 1
bodyguard 1
bomb 1
boxes 1
bridgid 1
brigid 1
building 1
but 1
by 5
calls 1
can 3
capture 1
captured 1
category 1
certain 1
change 1
changing 1
children 1
circle 1
cold 1
colors 1
conference 1
confusion 1
connected 1
could 1
created 1
crew 1
currently 1
danning 1
data 1
day 1
decide 1
declines 1
described 1
develops 1
didnt 1
display 1
dock 1
does 1
dog 1
doorstep 1
dr 3
due 3
during 1
dwyer 1
emotionless 1
ended 1
ends 1
enemies 1
enhanced 1
environmentalists 1
escape 1
evacuated 1
even 1
events 1
everyone 1
existence 1
experiment 1
eye 1
faces 2
fact 1
fall 1
fang 4
fangs 1
feel 1
feelings 1
find 2
finds 1
flee 1
flock 14
flying 1
for 5
forced 1
form 1
free 1
from 1
funeral 1
gain 1
gains 1
gas 1
gazzy 1
genetic 1
genetically 1
gets 2
getting 1
gifted 1
go 3
goes 1
going 1
gone 1
government 1
ground 1
group 3
grow 1
grows 1
guard 1
halfbrother 1
has 2
have 1
having 1
head 1
help 1
her 4
high 1
him 1
his 4
holding 1
home 2
hope 1
hotel 1
how 2
however 1
humans 1
hurricane 2
if 1
iggy 1
immediately 1
impostor 1
in 10
internal 1
into 2
is 7
it 1
jealous 1
jeb 1
jebs 1
k 1
kidnapped 1
kids 1
killed 1
kisses 1
leave 1
leopard 1
lerner 1
liking 1
located 1
longing 1
lost 1
make 1
many 1
martinez 2
martinezs 1
max 6
maximum 1
maxs 1
meanwhile 1
mechanical 1
meet 2
meeting 2
member 1
members 1
metal 1
miami 1
middle 1
mission 3
mom 1
more 5
much 1
mutants 1
mutated 2
mutations 1
named 1
next 1
night 1
not 1
nudge 1
of 17
off 1
offer 1
offered 1
office 1
old 1
olde 1
oldest 1
on 4
ones 1
only 1
opportunity 1
organs 1
other 2
out 1
part 1
penguin 1
period 1
pizza 1
place 1
plastic 1
point 1
polar 1
pollutionglobal 1
private 1
problems 1
public 1
record 1
relationship 1
release 1
reporters 1
rescued 1
research 2
returns 1
ride 1
runs 1
safer 1
school 1
scientist 1
seal 1
see 1
seems 1
shatter 1
she 4
short 1
shortly 1
siblings 1
since 1
sits 1
skill 1
skills 1
skyscraper 1
smoothly 1
snuck 1
son 1
soon 1
special 1
speed 1
starts 1
staying 1
steadily 1
stop 1
story 1
strained 1
sucking 1
surprise 3
surrounded 1
surroundings 1
take 2
talking 1
talks 1
team 1
tells 1
that 3
the 58
their 4
them 3
themselves 1
then 1
there 2
they 11
theyre 1
things 1
threat 1
thrown 1
to 25
total 1
toxic 1
trapped 1
trying 1
two 1
uberdirector 3
unexpected 1
unfriendly 1
unknown 1
up 1
upon 1
ushering 1
vessel 1
via 1
warming 1
was 3
washington 1
way 1
wendy 1
were 1
what 1
when 4
where 3
which 2
while 2
white 1
who 3
will 1
windows 1
winds 1
wings 1
with 5
world 2
would 1
ye 1
year 1
yet 1
