4808879
/m/0cp522
/m/0cp522
Sid Fleischman
1986-04
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 16
about 2
across 1
act 1
against 1
an 1
and 15
are 3
arrives 1
as 4
at 1
attack 1
attention 1
away 2
be 4
bear 4
beat 2
beaten 1
becomes 1
believing 3
best 1
betrays 1
billy 1
boils 1
boy 4
boys 7
but 2
by 2
can 1
castle 1
catch 1
coins 1
collect 1
come 1
craving 1
crime 1
cutwater 1
dancing 2
dangerous 1
day 1
decides 2
deeply 1
demands 1
directs 1
does 1
down 1
during 1
earns 1
emotions 1
entire 1
escapade 1
escape 2
even 1
everyone 1
explains 1
fair 2
family 1
father 1
feelings 1
few 1
finally 1
find 1
for 4
freedom 1
frequently 1
friends 1
from 2
full 1
get 1
girl 3
gives 1
go 2
had 1
hand 1
has 2
hatch 1
he 7
head 1
hear 1
help 1
her 2
highwaymen 5
him 3
himself 1
his 6
holdyournose 1
home 1
horace 3
how 1
hurt 1
in 4
instead 1
intentions 1
intercepted 1
into 4
is 4
it 1
jemmy 7
journey 1
kind 1
king 3
learn 1
learned 1
lift 1
live 1
living 1
longs 1
lost 1
makes 1
man 6
mathematics 1
may 1
misbehaves 1
missing 1
misunderstands 1
most 1
motion 1
much 1
mud 1
murder 1
no 1
not 1
notorious 1
of 3
on 4
one 2
orphaned 1
palace 1
pardoned 1
people 1
picked 1
plan 1
posted 1
potato 4
potatoes 2
prince 15
provides 1
punished 1
raise 1
ransom 1
rats 2
read 1
remark 1
return 2
reveals 1
reward 2
river 1
run 2
scares 1
scheme 1
searching 1
see 1
sells 1
servant 1
sets 1
several 1
sewer 2
sewers 1
she 1
show 1
so 1
some 2
soon 1
spoiled 1
stead 1
still 1
streets 1
suggests 1
talking 1
talks 1
than 1
that 5
the 53
their 1
them 4
therefore 1
they 9
things 1
though 1
times 1
to 13
trick 1
two 2
up 1
very 1
wagon 2
wants 1
way 1
when 5
where 3
while 2
whim 1
whipping 3
who 2
will 2
with 3
woman 1
worse 2
write 1
