1137787
/m/049j60
/m/049j60
Dean Koontz
2003
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
24hour 1
a 8
abilities 1
ability 1
about 4
accompanied 1
aka 1
an 2
and 11
appear 1
approached 1
are 2
as 2
at 1
attempt 1
be 1
begin 1
beginning 1
begins 2
blonde 1
bloodshed 1
bodachs 2
book 1
bronwen 1
brutally 1
by 4
california 1
calls 1
catastrophe 1
complexion 1
connected 1
convinced 1
cook 1
creatures 1
dark 1
day 1
dead 1
death 1
deeply 1
desert 1
details 2
diner 1
disaster 1
disastrous 1
discloses 1
down 1
due 1
during 1
dysfunctional 1
elvis 1
encountering 1
fateful 1
followed 1
following 1
forces 1
former 1
fungus 2
gather 1
ghost 2
gift 1
girl 1
hair 1
happen 1
harlo 1
has 2
he 2
her 1
him 4
his 6
home 1
how 2
in 5
including 1
information 1
introduced 1
intuition 1
involved 1
is 6
killer 1
knows 1
koontz 1
landerson 1
large 1
layer 2
leads 1
led 1
life 1
link 1
llewellyn 1
magnetism 1
make 1
man 6
meets 1
memorable 1
mold 1
more 3
mundo 1
murdered 2
mysterious 1
named 2
next 1
nicknames 1
occur 1
odd 11
of 7
on 1
only 1
opening 1
order 1
other 1
otherworldly 1
period 1
pico 1
presley 1
prevent 1
prostitute 1
psychic 1
psychically 1
raped 1
resembles 1
schoolmate 1
see 1
sense 2
shadowy 1
shaped 1
short 1
show 1
silently 1
sixth 1
some 1
sometimes 1
soon 2
soulmate 1
spirit 1
spirits 1
stormy 1
supernatural 2
suspiciouslooking 1
swarm 1
terrible 1
that 3
the 11
this 3
thomas 1
those 1
through 1
times 1
to 15
town 2
track 1
uncover 1
uncovered 1
understand 1
unique 1
unleashed 1
unusually 1
upbringing 1
uses 1
was 1
waxy 1
we 2
which 1
who 2
will 1
with 1
work 1
world 1
young 1
