401627
/m/023yh8
/m/023yh8
Chuck Palahniuk
2002-09-17
{"/m/06nbt": "Satire", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 13
able 1
acquired 1
across 1
addition 1
african 1
after 1
again 1
agent 1
all 1
allowing 1
also 1
an 2
and 15
annoying 1
any 1
anyone 2
are 2
around 3
article 1
articles 1
as 1
assigned 1
assistant 1
at 1
became 1
because 1
becomes 1
been 3
being 1
body 3
book 5
boyfriend 1
boyle 1
but 1
by 2
carl 1
carrying 1
case 1
cases 2
chant 1
chapters 1
child 2
concludes 1
connection 1
contained 1
containing 1
containspartly 1
copies 1
copy 2
country 1
culling 9
dangers 1
datebook 1
dead 2
deadly 1
deal 1
death 2
decide 1
destroy 2
destroying 1
destructive 1
died 2
discovers 1
down 1
during 1
each 1
earlier 1
ecoterrorist 1
elbow 1
elevator 1
else 1
end 1
ends 1
entirety 1
entitled 1
estate 2
eventually 1
every 1
example 1
exception 1
falling 1
figures 1
final 1
find 2
finds 1
for 6
found 1
foursome 1
from 3
go 1
grimoire 4
group 1
had 6
hands 1
has 3
have 1
he 5
helen 6
help 2
her 1
him 3
his 6
hoover 1
hope 2
hosts 1
hypothesized 1
immediately 1
in 11
infant 1
ink 1
into 3
investigations 1
invisible 1
is 10
it 8
its 1
joined 1
kill 2
killed 1
killer 1
killing 1
knows 1
late 1
learn 1
learns 1
life 1
looking 1
lullaby 1
made 1
may 1
memorizes 1
mind 1
misused 1
mona 4
must 1
named 1
newspaper 1
not 1
now 1
of 19
on 2
only 2
open 1
or 1
other 2
others 1
out 1
own 1
oyster 3
page 2
people 1
poem 2
poems 3
police 2
power 2
powerful 1
present 1
publisher 1
purposes 1
radio 1
read 1
real 1
remaining 1
remove 1
reporter 1
resurrect 1
rhymes 3
risk 1
road 1
sabbat 1
same 1
scene 1
searching 1
semivoluntarily 1
sergeant 2
serial 1
series 1
she 3
sids 1
sinister 1
song 8
source 1
spell 3
spellbook 1
spells 1
spoken 1
stop 2
story 1
streator 7
stress 1
sudden 1
syndrome 1
that 6
the 46
them 2
then 1
there 1
they 2
thinking 1
this 1
throughout 1
to 17
together 1
tracking 1
trip 2
turns 1
two 1
unable 1
unintentionally 1
until 1
unusually 1
up 1
use 2
used 1
using 1
want 2
wants 1
was 2
what 1
when 1
which 1
while 2
who 5
whom 1
wife 1
willing 1
with 6
work 1
world 3
write 1
written 1
years 1
