1739705
/m/05s9j0
/m/05s9j0
Xu Zhonglin

a 5
abilities 1
actually 1
aid 1
an 1
and 11
are 3
army 1
as 4
assisted 1
avatar 1
bang 1
battles 1
beautiful 1
beings 1
bestows 1
between 1
bewitched 1
both 1
by 3
calling 1
chinese 1
concubine 1
daji 1
dare 1
deities 1
demons 1
disguise 1
dynasty 2
elevated 1
empowers 1
endowed 1
enemies 1
essentially 1
establish 1
eventually 1
fallen 1
fengshen 1
figures 2
form 1
from 1
gods 2
heaven 1
heavenly 1
hence 1
heroes 2
him 2
his 4
human 1
humans 1
immortals 2
in 5
inanimate 1
include 1
including 1
integrates 1
invest 1
involved 1
is 2
jiang 3
king 4
kingdoms 1
last 1
like 1
list 1
magical 1
many 1
mythological 1
novel 2
objects 1
of 12
oppose 1
oppresses 1
oral 1
order 1
overthrow 2
own 1
peace 1
people 1
persecutes 1
pheasants 1
pipa 1
place 1
rallies 1
ranking 1
represented 1
restore 1
retelling 1
roles 1
romanticised 1
ruler 1
shang 5
sides 1
some 1
sometimes 1
speak 1
spirit 1
spirits 2
story 2
strategist 1
struggle 1
subjects 1
such 1
supernatural 1
tales 1
that 1
the 16
their 2
them 1
these 1
those 1
throughout 1
tianzun 1
title 1
to 6
tyrant 1
up 1
upon 2
usually 1
various 2
vixen 1
vixens 1
waged 1
war 1
well 1
who 5
with 3
woman 1
would 1
written 1
wu 2
yuanshi 1
zhou 6
ziya 3
