4542304
/m/0c7zwj
/m/0c7zwj
Mercedes Lackey
2004-03
a 10
about 1
acolytes 2
after 1
age 1
aketten 1
all 2
allowing 1
alta 4
altan 1
and 12
animals 1
anymore 1
anyone 1
are 4
ari 2
as 5
at 1
avatre 1
battle 2
be 1
bedu 3
been 1
being 1
birth 1
boys 1
buried 1
but 1
by 4
called 1
capital 1
city 1
contaminated 1
control 2
convinced 1
daughter 1
deceptions 1
deciding 1
declare 1
desert 4
designation 1
didnt 1
dragon 1
dragons 5
dragonsand 1
due 1
dwellers 1
egg 1
eggs 1
eight 1
ends 1
enter 1
ervice 1
escape 2
eventually 2
everyone 1
eye 2
far 1
fellow 1
few 1
fierce 1
find 1
finds 1
first 1
fledglings 1
flies 1
for 1
friends 1
from 5
gift 1
girl 2
gods 1
gone 1
grasp 1
guided 1
has 1
have 2
having 2
he 3
healer 1
heir 1
heirs 1
help 3
her 1
himself 1
hippopotamus 1
his 4
in 6
including 1
invents 1
is 4
it 1
jousters 3
kaleth 1
keep 1
keeps 1
king 1
kiron 5
legend 1
live 1
living 1
magi 6
magic 1
male 1
mind 1
mouth 1
murdered 1
near 1
need 2
nestling 1
new 3
no 1
noble 1
nomadic 1
nomads 1
now 1
of 20
on 1
one 2
ones 2
only 2
or 2
other 1
out 1
outside 1
outskirts 1
over 1
overthrow 2
people 1
place 3
plant 1
plot 1
poisoning 1
power 1
priests 1
raised 1
reaching 1
rescues 1
retain 1
revealed 1
riverhorse 1
safety 1
sanctuary 2
sands 1
secret 1
seeing 1
she 1
side 1
silent 1
slowly 1
speaking 1
speechwith 1
story 2
succeed 1
supervising 1
superweapon 1
supply 1
tactics 1
tala 3
tame 2
tells 1
temple 3
tending 1
that 2
the 44
their 7
them 2
there 2
they 3
this 2
thought 1
throne 2
tian 1
to 16
trains 1
turns 1
two 1
tyranny 1
upon 1
users 1
using 1
was 1
way 1
well 1
who 3
whom 1
wild 1
wing 2
winged 2
wishes 1
with 7
