4009179
/m/0bc8lr
/m/0bc8lr
David Pryce-Jones


achieve 1
ageold 1
an 1
and 5
arab 4
argues 1
author 2
basis 1
behavior 1
book 1
by 1
characteristic 1
close 1
cultural 2
dealings 1
discusses 1
documents 1
drive 1
each 1
eliminating 1
evolve 1
extended 1
forces 1
form 1
from 1
his 1
in 5
is 4
it 2
its 1
kin 1
loyalty 1
mayhem 1
members 1
of 4
other 2
plotting 1
power 1
rivals 1
roots 1
ruthlessly 1
secretly 1
seek 1
societies 1
society 2
stuck 1
that 2
the 10
their 2
this 1
those 1
to 2
traditions 1
tribal 2
tribalism 1
tribe 1
unable 1
view 1
violence 1
west 1
which 3
who 1
with 2
world 2
