7866817
/m/026gv46
/m/026gv46
Raymond Briggs
1999-10-07
{"/m/017fp": "Biography", "/m/0py0z": "Graphic novel"}
120s 1
20th 1
70s 1
a 4
advent 1
an 2
and 6
aspirations 1
becomes 1
behaviour 1
book 1
century 1
child 1
class 1
concerns 1
couple 1
courtship 1
deaths 1
depression 1
developments 1
during 1
early 1
easygoing 1
english 1
enthusiastic 1
ernest 1
ethel 1
events 1
firm 1
five 1
from 1
great 1
housewife 1
ideals 1
ii 1
illustrates 1
in 4
interest 1
is 3
lady 1
late 1
life 1
live 1
lives 1
london 2
maid 1
marries 1
middleclass 1
milkman 1
modern 1
momentous 1
most 1
notions 1
of 5
only 1
other 1
political 1
progress 1
progression 1
raymond 1
respectable 1
richly 1
she 2
simply 1
social 1
socialist 1
some 1
story 1
suburb 1
technology 1
television 1
the 10
their 3
they 1
through 2
titular 1
to 1
war 1
when 1
with 3
working 1
world 1
years 1
younger 1
