31965455
/m/0gvr2kn
/m/0gvr2kn


{"/m/01hmnh": "Fantasy"}
a 28
able 2
about 2
academy 4
actually 1
after 1
against 1
agree 3
agrees 1
allow 1
along 1
also 1
although 1
always 1
amongst 1
an 3
and 37
another 2
answer 1
any 2
apprentice 1
are 6
area 1
around 1
arrive 1
arrived 1
as 11
asking 1
at 5
attached 1
attack 1
attacked 2
attacker 1
attempts 1
away 2
back 2
ban 1
barely 1
be 3
beautiful 1
becomes 1
becoming 1
been 2
before 2
begins 1
being 1
bel 11
believe 1
bels 1
benefit 1
best 1
blue 2
blunt 1
boat 1
body 1
box 1
boy 1
breathers 1
bring 1
brother 1
brought 1
but 5
buzz 1
by 8
can 3
cannot 1
capture 1
captured 1
caravan 2
check 1
chest 1
claims 1
close 1
clues 1
come 1
comes 1
companions 1
conclude 1
continue 2
control 2
converse 2
could 1
crystals 1
current 1
cut 1
dare 1
day 1
design 1
despite 1
dhree 3
did 1
differences 1
different 1
discover 2
disguise 1
disguised 1
distraction 1
do 2
down 1
dragons 2
drawing 1
during 1
earning 1
easily 1
east 1
effect 1
escape 1
eventually 3
exactly 1
explode 1
exploding 1
explore 1
fallen 1
false 1
fast 1
feel 1
feels 1
fellow 1
fills 1
find 2
finds 1
fire 1
first 1
follows 1
for 8
former 1
found 1
freely 1
friends 1
from 6
game 1
gathered 1
get 2
gets 1
giant 1
giving 1
gleans 2
goats 1
goes 1
good 1
group 1
guards 1
guest 1
guide 1
guidestar 1
hand 1
has 2
have 4
having 1
he 4
headed 1
hefting 1
help 3
her 14
hes 1
highly 1
him 2
himself 1
his 3
hold 1
home 1
honesty 1
however 2
if 1
in 12
information 5
inn 4
intent 1
into 2
investigate 2
investigating 1
investigation 2
investigations 1
is 10
isnt 2
it 7
joins 1
kept 1
killed 1
knowledge 1
lad 2
land 1
later 1
learns 2
leave 3
leaving 1
left 1
life 1
locations 1
long 1
lot 1
loyal 1
magic 3
magicked 1
make 2
makes 2
making 2
man 2
manage 1
manner 1
marvelous 1
may 1
meets 1
much 2
named 2
nature 2
nearly 1
needs 1
next 2
not 2
nothing 1
notice 1
number 1
obnoxious 1
occasion 1
of 17
on 5
one 1
open 1
orders 1
origins 1
out 2
outlying 1
outskirter 2
outskirters 1
outspoken 1
pair 5
particularly 1
perspective 1
pieces 1
pinches 1
place 1
plays 1
point 1
polished 1
preparing 1
presence 1
pretending 1
prison 1
probably 1
promises 1
protection 1
put 2
questions 1
quick 1
quickly 2
random 1
reader 1
realizes 1
reason 2
refuse 1
rescue 1
resists 1
rid 1
road 1
room 1
rowan 13
rowans 4
rumored 1
runaway 1
sail 1
sailor 1
sailors 1
same 1
secret 1
see 1
sell 1
set 1
shammer 3
share 1
she 11
ship 1
shopkeeper 1
shows 1
shut 1
siblings 1
side 1
simply 1
sister 1
slado 3
slip 1
soldiers 1
some 2
sometimes 2
source 1
sparked 1
sparks 1
spell 1
spring 1
sprinkled 1
stalked 1
staying 1
steerswoman 3
steerswomen 3
stones 3
story 3
stronghold 1
suggest 1
surprised 1
sustain 1
switches 1
sword 1
take 2
tale 1
talent 1
talk 1
teenagers 1
tells 1
than 1
that 7
the 59
their 5
them 14
themselves 1
there 2
thereby 1
they 9
theyre 3
theyve 1
things 1
this 3
through 1
throughout 2
throwing 1
time 1
to 43
together 2
too 1
touch 2
tow 1
toward 1
town 2
trail 1
travel 1
traveling 2
tribe 1
tried 1
truthful 1
try 1
turn 1
two 2
under 1
undercover 1
unknown 1
until 1
up 3
use 2
valuable 1
very 2
villages 1
voyage 1
wait 1
wants 1
warning 1
was 1
way 4
ways 1
well 1
when 3
which 2
while 1
who 7
will 5
wills 2
with 8
wizard 3
wizards 4
women 1
work 2
would 1
young 3
