747903
/m/037_xg
/m/037_xg
Laura Hickman

12 1
a 11
adopted 1
adversaries 1
after 1
age 1
alive 1
all 1
also 1
altered 1
an 2
and 19
appearance 1
are 4
as 4
at 1
attack 1
attacks 2
attempt 1
avoid 1
barovia 4
barricade 1
become 1
before 1
begins 1
blamed 1
body 1
book 2
brother 2
burgomaster 2
but 1
by 4
camp 1
card 1
cards 4
castle 3
catacombs 1
centuries 1
character 2
characters 1
contains 1
control 1
corresponding 1
count 3
country 1
court 1
create 1
created 1
creatures 1
daughter 1
deadly 1
deck 1
defeating 1
desire 1
destroy 2
details 1
determine 2
determines 1
directs 1
dm 2
doors 1
drawn 1
draws 1
dungeon 1
dungeons 1
during 1
each 3
elements 1
entries 1
epilogue 1
evil 2
example 1
explained 1
explains 1
fallen 1
fifth 1
final 1
five 2
flee 1
focus 1
fog 1
for 4
force 1
forever 1
form 1
fortune 1
found 1
four 1
from 2
gain 1
game 3
ghosts 1
ghouls 1
girl 2
guide 1
guided 1
gypsy 2
had 2
have 1
he 5
her 3
herself 1
him 2
his 5
holy 1
if 1
in 8
include 1
including 1
initially 1
inside 1
instructed 1
intelligently 1
into 1
involves 1
ireena 5
is 8
it 1
item 1
journeys 1
keep 1
killed 1
kolyana 1
land 1
lands 1
leave 1
level 1
live 1
lives 1
location 1
locations 3
long 1
longago 1
lost 1
love 5
loved 1
lover 1
made 1
magic 1
magical 2
main 1
making 1
mansion 1
many 1
maps 2
master 2
match 1
matches 1
may 3
mind 1
minions 1
mortal 1
motivation 1
motivations 1
must 1
nation 1
nearby 1
necessary 1
next 1
night 1
not 1
objective 1
of 18
on 1
one 1
optional 1
or 2
organizes 1
other 1
our 1
out 1
pact 1
party 3
pc 1
pcs 2
play 5
played 1
player 2
possible 3
powers 1
prologue 1
random 1
randomly 1
ravenloft 3
reasons 1
rejection 1
replace 1
residents 1
response 1
reunited 1
revealed 1
rules 1
saving 1
says 1
sections 2
selected 1
situation 1
six 2
slew 1
small 1
spires 1
story 1
strahd 15
sunsword 2
surrounded 1
symbol 1
take 1
tatyana 1
that 7
the 45
their 1
then 1
there 1
these 3
they 1
this 1
through 2
to 12
told 1
tome 1
tragedy 1
travel 1
treasure 1
try 1
turn 2
two 3
tyrannically 1
unrequited 1
useful 1
using 2
vampire 3
von 1
want 2
we 1
weapons 1
when 1
who 3
whose 1
will 1
with 4
wolves 1
work 1
world 1
young 2
younger 1
zarovich 1
zombies 1
