6834385
/m/0grpsy
/m/0grpsy
Javier Cercas

{"/m/05hgj": "Novel"}
13613 1
a 14
able 1
about 1
after 1
age 1
also 1
an 2
and 9
another 1
antonio 1
anyone 1
article 1
as 1
asked 1
at 2
author 1
based 1
be 1
became 2
becomes 1
been 1
begins 1
believe 1
biographical 1
biography 1
book 1
brief 1
bush 1
but 1
by 5
called 1
cercas 10
character 1
civil 3
close 1
collaborator 1
comes 2
confirm 1
contact 1
curious 1
custody 1
de 1
decides 1
deny 1
depict 1
deserters 1
discovers 1
divided 1
during 3
early 1
eccentric 1
encouraged 1
end 2
ends 1
escape 2
escapes 1
espaola 1
evades 1
eventually 1
executed 1
execution 3
explanation 1
falange 1
falangist 1
fascist 1
feats 1
fictional 2
fictionalized 1
finding 1
finds 1
first 2
flee 1
focuses 1
following 1
for 3
forces 1
foreign 1
forest 1
fortune 1
fought 1
francisco 1
franco 1
french 1
from 3
girlfriend 1
group 1
had 2
having 2
he 4
help 1
helped 1
heroes 1
heroic 1
hide 1
him 3
his 5
historical 2
home 1
how 1
however 1
idealist 1
if 1
important 1
in 12
incident 1
interview 1
interviews 1
into 2
investigated 1
investigating 1
investigation 1
is 9
itself 1
javier 3
jos 1
journalist 1
later 1
leads 1
legion 1
life 5
lone 1
man 1
mazas 12
member 1
miralles 4
monologue 1
named 1
narrative 1
nature 1
neither 1
newspaper 1
no 1
nor 1
novel 5
nucleus 1
obsessed 1
of 22
old 2
on 3
one 1
particulars 1
place 1
presents 1
primo 1
prisoners 1
propagandist 1
questioning 1
rafael 2
regime 1
replies 1
republican 2
republicans 2
response 1
responsible 1
retelling 2
retirement 1
retreating 1
returns 1
rivera 1
save 1
saved 1
second 4
section 8
sections 1
sequestered 1
series 1
several 1
snchez 2
soldier 6
son 2
spanish 2
spare 1
spared 1
still 1
story 2
taken 1
takes 1
teller 1
that 2
the 50
there 1
third 2
this 3
three 1
to 8
told 1
tv 1
version 1
war 5
was 1
when 2
where 1
which 1
who 2
will 1
with 4
world 1
writer 1
writes 1
written 1
