61179
/m/0glrw
/m/0glrw
Timothy Zahn

{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
22 1
260 1
a 6
about 1
actually 1
admiral 2
after 2
against 2
alien 1
all 2
alliance 1
although 1
among 1
an 5
anakin 1
and 16
ante 1
area 1
arrested 1
as 4
assault 1
assist 1
asteroids 3
at 4
attack 3
attackers 1
away 1
back 2
barrage 1
base 1
battle 1
before 1
bel 1
bespin 1
bilbringi 2
bodyguard 1
book 1
but 1
by 5
can 1
capitulate 1
capt 1
capture 2
cbaoth 3
certain 1
chewbacca 1
chewie 2
clean 1
climax 1
cloaked 3
clone 2
cloning 1
comes 1
commando 1
consider 1
coruscant 6
dark 2
dashed 1
death 1
deception 3
defense 1
defenses 1
deploys 1
device 1
disappearing 1
discovers 1
down 1
draw 1
droids 1
during 1
eavesdropping 1
elsewhere 1
emboldened 1
emperor 2
empire 4
events 1
explode 1
face 1
facility 1
fakes 1
faking 1
father 1
feint 1
ferrier 1
fierce 1
finally 2
find 1
fire 1
fleet 4
for 1
force 2
forces 5
forest 1
form 1
former 1
from 2
fulfills 1
garm 1
gilad 1
gives 1
go 1
grand 1
great 1
han 4
hand 1
having 1
he 2
help 1
her 2
him 1
himself 1
his 5
hopes 1
however 1
iblis 1
immobilize 1
imperial 10
in 7
intact 1
invites 1
is 4
jade 2
jedi 2
joins 1
joruus 1
karrde 3
katana 1
kidnap 1
kill 1
killing 1
kills 2
knocked 1
lando 2
launches 1
lead 1
leadership 1
learned 1
leia 5
lets 1
lightsaber 2
local 1
located 1
lost 1
luke 6
luuke 2
man 2
mara 7
marshals 1
master 1
maul 1
meeting 1
mole 1
mon 1
month 1
mothma 1
myrkr 1
named 1
nearly 1
new 2
newborn 1
niles 1
noghri 3
novel 1
now 2
of 9
offensive 1
on 3
operation 1
ordering 1
orders 2
organizes 1
out 2
over 3
own 3
palace 1
past 1
pellaeon 2
permission 1
personnel 1
place 1
planet 1
planetary 1
planets 1
points 1
presence 1
previous 1
princess 1
produced 1
quickly 1
races 1
raid 2
reads 1
receives 1
recent 1
reconciles 1
republic 6
retreat 1
rig 1
rising 1
rukh 1
security 1
sees 1
sen 1
sent 1
set 2
several 1
severely 1
she 4
shields 1
ships 1
shipyards 2
shuts 1
side 1
sidelines 1
skywalker 3
slip 2
smuggler 1
smugglers 3
sole 1
solo 1
spent 1
staffing 1
staying 1
stopping 1
strategy 1
strikes 1
stuns 1
success 1
such 1
survivor 1
system 1
talon 1
tangrene 1
techniques 1
that 4
the 43
their 2
them 4
they 2
things 1
this 1
thrawn 6
through 2
time 2
to 18
train 1
travel 1
turbolaser 1
turn 1
turncoat 1
twins 2
two 1
underneath 1
unites 1
until 1
up 1
ups 1
using 2
victory 1
wants 1
was 2
way 1
wayland 3
were 1
when 3
who 2
whom 1
will 1
with 8
without 1
word 1
work 1
