1174475
/m/04dhpd
/m/04dhpd
James Clavell
1986
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
125 1
206 1
212 1
a 1
aberdeen 1
across 1
action 1
actual 1
aerospace 1
air 1
aircraft 2
all 1
alouette 1
alshargaz 1
american 1
ancient 1
and 14
are 2
arospatiale 1
as 2
bae 1
bandar 1
base 1
based 1
basic 1
bell 2
betrayers 1
bewildering 1
british 2
by 1
caught 1
chilling 1
city 1
clashes 1
comes 1
company 2
complicating 1
country 1
dam 1
deadly 1
delam 1
dez 1
doshan 1
during 1
efforts 1
emirate 1
encounters 1
environs 1
equal 1
escape 1
evin 1
families 1
fanatics 1
fictional 1
finnish 1
for 2
form 1
friends 1
galeg 1
gavallan 2
get 1
greater 1
gulf 1
harsh 1
haven 1
helicopter 1
helicopters 3
his 4
hong 1
house 1
iii 1
in 3
include 3
including 1
iran 3
iranian 1
is 1
island 1
kharg 1
khomeini 1
kong 1
kowiss 1
lake 1
lengeh 1
lifestyle 1
lives 1
locations 2
lovers 1
many 1
matters 1
meaning 1
morghi 1
mount 1
mountains 1
must 1
neighboring 1
noble 1
of 8
operating 1
or 1
out 1
owner 1
parts 2
persian 1
pilots 2
political 1
portraying 1
power 2
prison 2
protector 1
qasr 1
qazvin 1
reign 1
religious 1
revolutionaries 1
riottorn 1
runs 1
sabalan 1
safe 1
scotland 2
secret 1
settings 1
sg 2
shah 1
siri 1
southwestern 1
spare 1
spies 1
states 1
story 3
struggle 1
sweeps 1
tabriz 1
tappeh 1
teheran 1
the 19
their 1
throughout 1
to 2
traditions 1
turkey 1
up 1
upheaval 1
used 1
valuable 1
value 1
van 1
village 1
well 1
western 1
westernized 1
when 2
with 2
within 1
yazdek 1
zagros 1
