3509423
/m/09hdk6
/m/09hdk6
Kenneth Bulmer
1967
56 1
a 4
aboard 1
an 1
ancient 1
and 3
anything 2
as 1
ask 1
b 1
be 1
before 1
blows 1
bucentaure 1
children 1
computer 2
concerns 1
conman 1
connects 1
crashlands 1
current 1
day 1
designed 1
determined 1
discover 1
engine 1
enough 1
every 1
explode 1
eyes 1
food 1
for 2
from 1
generation 1
has 1
he 1
houses 1
however 1
in 2
instantly 1
is 3
jack 2
keep 1
kerim 1
kerimites 1
life 1
lives 1
lucky 1
manufactured 1
miraculous 1
mysterious 1
need 1
no 4
novel 1
of 2
on 2
only 1
order 1
other 1
peichen 3
planet 2
planets 1
powers 1
providing 1
rogues 1
salesman 1
save 1
starship 1
such 1
sun 1
that 3
the 10
their 1
them 1
there 1
thing 1
to 5
trivial 1
try 1
unfortunate 1
up 1
variety 1
waley 1
when 1
where 1
will 1
with 3
years 1
you 1
your 1
