2949694
/m/08fl__
/m/08fl__
Robert Forward

{"/m/06n90": "Science Fiction"}
40 1
a 10
aboard 1
active 1
advantage 1
after 1
again 2
aging 1
airborne 1
allow 2
almost 1
ammoniawater 2
an 1
and 12
another 1
approaching 1
are 4
area 1
arrived 1
artificial 1
as 5
at 1
attention 1
attracts 1
ballast 1
barnard 1
become 1
begin 1
between 1
break 2
but 1
by 2
called 1
can 1
caught 1
cause 1
causes 1
change 1
changing 1
civilian 1
communications 1
configuration 1
continuing 1
covered 1
crash 1
crew 8
cultural 1
decade 1
decide 1
dense 1
destination 1
dormant 1
double 3
dragonfly 1
drug 1
dubbed 1
due 1
eau 1
effective 1
enough 1
entirely 1
equipotential 2
establish 1
event 1
exchange 1
experience 1
exploration 1
exploring 1
fans 1
first 1
floats 1
flooded 1
floods 1
floor 1
flouwen 3
flow 1
for 3
fortunately 1
fraction 1
free 2
french 3
from 3
get 1
glacier 1
gravitation 1
gravitational 1
group 2
help 1
however 1
humanity 1
humans 4
ice 3
in 5
inner 1
intelligence 1
intelligent 1
interplanetary 1
into 1
iq 1
is 2
it 1
journey 2
journeys 1
just 1
knowledge 1
lacking 1
lander 2
landing 1
laserpumped 1
lasted 1
left 1
less 1
lift 1
light 1
limits 1
lobe 5
lobes 1
lowering 1
make 1
making 1
manages 1
manned 1
mathematician 1
melts 1
military 1
name 1
native 1
nearby 1
nodie 1
ocean 5
of 16
off 2
older 1
on 4
one 2
only 1
other 2
partially 1
period 1
personnel 1
phenomenon 1
physically 1
pinning 1
plane 3
planet 4
planets 1
point 1
pole 2
poses 1
process 1
propellers 1
proportionately 1
propulsion 1
provide 1
reaching 1
realize 2
remaining 2
rendezvous 2
return 1
roche 5
rocheworld 3
rock 1
rocky 1
sail 1
scientific 1
should 1
sinks 1
slowed 1
small 1
solution 1
spacecraft 2
spaceplane 4
species 2
split 1
star 3
stop 1
storm 1
stresses 1
surface 1
system 2
systems 1
take 1
takes 1
technologically 1
than 1
that 3
the 60
their 5
them 1
they 5
this 3
threat 1
thrust 1
tidal 1
to 20
travelling 1
try 1
two 2
unable 1
underwater 1
up 1
upon 1
use 1
used 1
using 1
very 1
via 1
violent 2
visit 1
volcanoes 1
warm 1
warn 1
water 5
waterfall 1
waterfree 1
waterlanding 1
way 1
well 1
when 1
where 3
which 3
while 1
whilst 1
who 1
with 4
worked 1
years 1
zero 1
