6493612
/m/0g7hzf
/m/0g7hzf
Shashi Tharoor
1991
{"/m/0gf28": "Parody", "/m/06nbt": "Satire", "/m/02xlf": "Fiction", "/m/016lj8": "Roman \u00e0 clef"}
a 12
accident 3
achieves 1
action 1
actress 1
after 1
again 2
against 1
agrees 1
an 5
and 9
angry 1
are 1
as 2
ashok 3
at 1
audience 2
away 1
back 1
banjara 16
be 1
becomes 1
bedding 1
begins 1
benches 1
between 1
big 1
bollywood 5
bombay 1
business 1
by 1
called 1
care 1
career 1
cast 1
comeback 1
comes 1
constituency 1
convinces 1
costar 1
death 1
delhi 1
desperation 1
destroyed 1
details 1
director 1
dismay 1
easily 1
elahi 1
election 1
enticed 1
entire 1
establish 1
establishes 1
establishment 1
extricates 1
eyes 1
fame 1
family 1
fate 1
father 1
fighting 2
film 6
films 1
find 1
finds 2
first 1
flashback 1
flashing 1
flop 1
for 7
fortune 2
fortunes 1
from 3
front 1
gathered 1
godambo 1
has 3
hates 1
he 9
health 1
helpless 1
her 1
heroines 1
him 5
his 18
homes 1
hospital 2
however 1
hundreds 1
implicated 1
in 13
intensive 1
irony 1
irrelevant 1
is 10
it 1
its 1
join 1
kalki 4
known 1
languishes 1
later 1
league 1
leaves 1
life 3
like 1
mainstream 1
make 1
makes 1
man 1
marries 1
maya 1
meanwhile 1
mechanic 1
meets 1
mehnaz 1
millions 1
mistress 1
moneylaundering 1
most 1
mythological 1
mythologicals 1
news 1
no 2
not 1
now 1
of 15
on 4
once 1
one 1
or 1
others 1
outside 1
own 1
parliament 1
party 3
philanderer 1
pinnacle 1
playing 1
politician 1
politics 2
poor 1
praying 1
primarily 1
producer 1
quits 1
ready 1
recovery 1
restore 1
revealed 1
role 2
sake 1
saying 1
scandal 2
scheme 1
second 1
seek 1
sees 2
sense 1
sets 3
shooting 1
show 1
significant 1
solidly 1
something 1
sometime 1
soon 1
star 2
stay 1
success 1
successful 1
superstar 1
supposed 1
suspended 1
talented 1
that 7
the 19
their 1
things 1
this 1
though 1
to 9
unit 1
vehicle 1
very 1
waiting 1
will 1
wins 1
with 4
without 1
work 2
young 2
