202349
/m/01crb4
/m/01crb4
Douglas Adams
1980-01-01
a 20
abandoned 1
accidentally 1
after 2
all 2
also 1
although 1
amount 1
an 3
ancestor 1
ancestors 1
and 23
annihilates 1
answer 1
any 1
are 8
area 1
ark 1
arthur 9
as 6
asking 1
at 4
attacked 1
attempts 2
away 1
b 2
backing 1
bag 1
band 1
be 6
beeblebrox 2
been 1
before 2
begins 1
behind 1
belonging 1
benefit 1
best 1
beta 1
brief 1
brings 1
building 2
built 1
bumbling 1
but 2
by 8
cabin 1
can 1
cat 1
choice 1
chosen 1
class 1
cockup 1
commandeered 1
compared 1
complete 1
computational 1
computer 3
concert 1
contemplation 1
convinces 1
crashlands 1
created 1
creature 1
cruise 1
cup 1
decides 1
deep 1
dent 1
destroying 1
determine 1
detrimental 1
device 1
difficult 1
diners 1
disaster 1
discover 1
dive 1
do 1
done 1
door 1
down 1
drive 1
earth 6
effects 1
end 2
ended 1
enters 1
entirely 2
error 1
escape 2
escapes 1
even 1
ever 1
everything 2
exists 1
explains 1
explanations 1
fact 1
fifteenth 1
fighters 1
final 1
find 1
finding 1
finds 1
first 1
five 1
fleet 1
floor 1
fly 1
fools 1
for 9
ford 8
fortytwo 1
fourth 1
frogstar 2
from 3
future 1
galaxy 1
gargravarr 1
get 1
gives 1
go 2
gold 3
golgafrinchan 1
golgafrinchans 1
gone 1
ground 1
guidance 1
guide 2
guides 1
had 1
half 1
has 5
have 3
having 1
he 6
heart 3
here 1
him 1
his 10
history 1
hitchhiker 1
holds 1
home 1
hope 1
hoping 1
how 1
however 1
humans 2
hundred 1
implying 1
important 2
impress 1
improbability 1
improve 1
in 10
including 1
incredibly 1
inevitable 1
infinitesimally 1
informs 1
inhabiting 1
instructions 1
intended 2
intergalactic 1
into 3
is 19
isolated 1
it 10
jacket 1
jammed 1
just 3
knowing 1
lands 1
leaves 1
left 2
letters 2
life 2
lifted 1
looking 1
lord 1
luckily 1
made 1
magrathea 1
make 1
malfunctionednbspmdash 1
man 1
manage 1
marvin 4
matrix 2
meal 1
meanwhile 1
meets 1
message 1
million 1
milliways 1
minor 1
mission 1
modern 1
most 2
multiply 1
mysterious 1
named 1
neanderthals 2
nearest 2
never 3
nine 1
no 1
not 4
nothing 1
nutrimatic 1
of 28
off 2
office 3
offices 1
on 9
only 2
operate 1
or 1
order 1
originally 1
others 1
out 8
outside 1
parking 1
part 1
perspective 2
planet 2
pocket 1
position 2
possible 1
prefect 1
prehistoric 2
problem 1
produce 1
programmed 1
proper 1
proved 1
provide 1
pulling 1
question 2
randomly 1
rather 2
reach 1
reaching 1
real 1
reality 1
realize 2
really 2
reappear 1
received 1
reconstituted 1
request 1
requires 1
restaurant 4
return 1
returned 1
reunited 1
rock 2
roosta 2
rubbed 1
ruler 2
rules 1
running 1
saves 1
says 1
scrabble 1
see 1
seeming 1
sent 2
settles 1
seventysix 1
ship 5
should 1
showing 1
shows 1
shrunk 1
shut 1
simple 1
situation 1
six 1
skeptical 2
small 2
sneak 1
sole 1
some 1
somebody 1
space 1
spaceliner 1
spaceport 1
spaceship 1
spaceships 1
spell 2
stalling 1
star 1
stay 2
steal 1
stranded 1
stuntship 1
subconscious 1
system 1
takes 1
tea 1
teleport 1
teleporter 2
than 1
that 14
the 71
them 2
then 1
there 4
they 9
thing 1
this 8
thought 1
thousand 1
through 2
thus 1
tiles 1
time 3
to 28
torture 1
total 2
towel 1
transported 2
travellers 1
trillian 5
turns 3
ultimate 1
unable 1
unaware 1
universe 12
until 1
upon 1
ursa 1
use 1
used 1
vanish 1
vast 1
via 1
virtual 2
vogon 1
vortex 3
wait 2
waiting 1
was 2
way 1
website 1
weight 1
were 1
what 2
when 4
where 1
wherever 1
whether 2
which 6
while 2
who 6
whole 1
will 1
window 1
with 3
world 1
would 1
years 1
you 5
zaphod 17
zarniwoop 8
