12431763
/m/02w5hh_
/m/02w5hh_
Ryszard Kapuściński
2004
{"/m/05h83": "Non-fiction"}
a 2
africa 1
allusions 1
and 2
another 1
as 1
assignment 1
beginning 1
book 1
books 1
by 2
chief 1
correspondent 1
draw 1
east 1
editor 1
first 1
follows 1
for 3
foreign 1
from 2
given 1
global 1
he 2
herodotus 2
him 2
his 3
how 1
in 3
india 1
journeys 1
kapuciski 2
leaving 1
middle 1
newspaper 1
of 1
one 1
polish 1
position 1
present 1
rare 1
road 1
rose 1
shows 1
skips 1
sometimes 1
student 1
the 5
though 1
through 1
time 1
to 3
us 1
was 2
when 1
years 1
