539255
/m/02m_rj
/m/02m_rj
Matthew Reilly
1998-08
a 18
able 1
about 1
accidentally 1
actual 1
after 2
agent 2
alias 1
alien 1
all 2
allison 1
alone 1
an 5
and 33
andrew 2
another 1
appears 1
appending 1
are 4
arrival 1
arrive 2
arrives 1
as 3
assumes 1
at 6
attack 1
attacker 2
avoid 1
back 2
badly 1
barnaby 1
be 6
been 1
before 3
begin 1
being 4
believed 1
below 1
book 2
brigadier 1
but 2
by 8
call 1
cameron 3
captain 1
capture 1
captured 2
care 1
claiming 1
cliff 1
close 1
code 1
come 1
convergance 1
cruz 2
custody 1
dead 1
death 2
decide 1
decides 1
destroy 2
destroyed 1
destruction 1
discover 1
distress 2
diving 3
doesnt 1
down 2
during 1
elephant 1
end 1
ensues 1
escape 2
escaped 1
escapes 1
feeds 1
few 1
fight 1
find 2
finds 1
flee 1
forces 1
former 1
found 3
four 1
french 6
friend 1
from 2
fur 1
gant 5
get 1
godfather 1
going 1
group 1
had 2
happened 1
happening 1
have 2
hawaii 1
he 7
hear 1
hensleigh 4
her 2
herself 1
him 2
his 1
hollywood 1
however 1
ice 2
icg 2
in 3
includes 1
injured 1
intelligence 1
is 11
it 3
its 1
james 1
journey 1
kill 3
killed 4
killer 2
killing 2
kills 1
kirsty 4
known 1
land 1
later 2
lead 1
learns 1
leave 1
leaving 1
leg 1
legs 1
list 1
lives 1
looses 1
manages 2
marine 2
marines 2
meanwhile 2
meet 1
members 1
men 2
message 1
military 1
montana 5
more 1
mother 3
mutated 1
named 3
nearly 1
news 1
object 1
of 20
off 1
on 2
one 3
only 1
other 2
others 1
out 2
people 1
pete 2
picked 1
plane 1
pod 1
pushed 1
ratman 1
realizes 1
rebound 1
receives 1
recon 1
recovers 1
remaining 1
remembering 1
renshaw 5
reporter 1
resurrected 1
returns 1
reveal 1
revealed 1
reveals 1
samurai 3
santa 2
sarah 2
sas 3
save 1
saved 2
scarecrow 2
schofield 10
scientists 8
seal 1
seals 1
secret 1
see 1
send 1
sends 1
sent 1
service 1
several 3
shane 1
she 1
ship 3
shofield 5
shot 1
side 1
signal 1
since 1
snake 4
soldier 1
soldiers 2
soon 1
spy 2
states 2
station 8
stepdaughter 1
stolen 1
strangling 1
submarine 1
succeeds 1
survivors 1
team 7
that 2
the 44
their 1
them 1
themselves 1
they 4
time 1
to 22
towards 1
trent 5
trevor 1
tried 1
trusts 1
turns 1
two 5
united 2
until 1
up 3
us 2
using 1
uss 2
vanished 1
vehicles 1
via 2
video 1
wakes 1
was 4
wasp 2
watching 1
wendy 1
whales 1
what 2
where 4
which 3
while 3
who 1
wilcox 1
wilkes 3
with 3
wounded 2
years 1
