33564907
/m/0hgn9ws
/m/0hgn9ws
John Barnes
1994-07
1 1
21st 1
a 3
and 1
as 1
at 1
augmented 1
beyond 1
billion 1
bodies 1
both 1
by 2
century 1
clathrate 1
comet 2
compounds 1
computer 1
corral 1
die 1
early 1
earth 2
end 1
explosion 1
from 3
giant 1
human 1
hundreds 1
hurricane 2
ice 1
in 1
intelligences 1
kill 1
least 1
massively 1
mother 1
novel 1
nuclear 1
of 5
orbit 1
organic 1
people 1
pluto 1
progeny 1
quell 1
race 1
reduce 1
release 1
result 1
spawned 1
spawns 1
storms 1
suffers 1
surface 1
temperatures 1
the 8
their 1
they 1
to 2
two 1
use 1
which 1
while 1
whom 1
witness 1
