23890224
/m/076t0wp
/m/076t0wp
Ellen Hopkins
2009-08-25
{"/m/03mfnf": "Young adult literature"}
a 21
about 6
act 1
acted 1
addicted 1
after 4
again 2
ago 1
alex 4
alexs 2
alive 1
all 2
almost 1
also 1
an 4
and 55
andrew 3
andrews 2
angry 3
another 1
anything 1
are 2
around 1
arrested 1
as 6
assumes 1
at 3
attacks 1
attends 1
attention 1
attracted 1
aunt 1
author 1
away 2
back 2
bait 1
bar 1
be 7
because 1
becomes 4
been 1
begging 1
begins 1
begun 1
being 4
believe 1
believes 1
bennet 1
better 3
bills 1
biological 1
book 1
both 1
boyfriend 2
boyfriends 1
breaks 1
brother 1
bryn 2
business 3
but 3
by 5
calls 1
can 1
cancer 2
captivity 1
care 2
carl 2
catapulted 1
certain 1
character 5
charging 1
cheats 1
child 1
childhood 1
chris 1
christian 1
city 1
client 2
cody 6
codys 1
college 1
comes 1
comforting 1
committing 1
companion 1
conscious 1
controlled 1
cordell 1
cries 1
dad 2
dates 1
dating 1
daughter 1
dead 1
deals 1
decides 2
deep 1
described 1
deserves 1
devil 1
dies 2
disconnected 1
discovered 1
distant 1
ditch 1
do 2
does 2
doesnt 2
drifting 1
drink 1
drivers 1
drugs 1
dumping 1
dying 1
early 1
eden 3
edens 1
email 1
encounters 1
end 1
ends 1
escape 2
eve 1
evil 1
exchange 1
expectations 1
express 1
expressed 1
faith 1
fall 1
family 4
father 5
feeling 2
feels 1
fifth 1
find 1
finds 7
first 1
five 1
food 1
for 8
forced 1
forces 1
fourth 1
friend 2
from 8
gambling 1
gas 1
gay 2
get 5
gets 4
ginger 5
gingers 2
girlfriend 1
gives 1
giving 1
go 2
goes 3
gram 2
gym 1
had 1
half 1
has 2
hasnt 1
have 5
having 1
he 20
hears 2
help 2
helps 1
her 36
hero 1
herself 2
him 12
himself 1
his 12
hit 1
home 2
hooks 1
hope 1
hopes 2
hospital 3
house 1
how 2
identifying 1
in 13
into 3
iris 2
is 22
it 1
jack 3
janet 1
jared 2
jerome 3
keep 1
keeping 1
kept 1
key 1
kicks 2
kind 1
know 1
kyra 1
kyras 1
lang 1
leave 1
leaves 4
less 1
life 1
likes 1
live 1
lives 4
looks 1
loren 2
losing 1
love 2
loves 1
lucas 2
lydia 3
make 1
man 4
manages 1
marriage 1
marrying 1
matter 1
means 1
meets 2
men 2
message 2
met 1
minister 1
misty 3
mistys 1
money 4
more 2
mother 8
mothers 4
motorcycle 1
move 1
moves 2
naked 1
named 1
nearby 1
new 2
night 1
not 3
novel 1
now 1
occasionally 2
of 17
off 1
older 1
on 3
one 4
online 2
only 2
or 1
other 2
out 6
over 1
overdose 1
paid 1
parents 2
parnel 1
partially 1
partnering 1
parts 1
paying 1
people 2
performances 1
photography 1
place 3
pregnant 1
problem 1
putting 1
questioning 1
rape 1
raped 1
record 1
relationship 6
relief 1
replies 1
residing 1
responsibility 1
rest 1
revealed 3
reveals 1
rid 1
rides 1
ronnie 2
run 1
said 1
sandy 1
says 2
second 1
secret 1
secrets 1
see 1
seems 1
sees 1
sends 2
sent 2
seth 6
seths 1
sets 1
sex 8
sexuality 1
shampoo 1
she 26
shortly 1
siblings 1
similar 1
since 1
sister 3
situations 1
so 2
soon 1
speaking 1
spends 1
starts 2
states 1
station 1
stay 3
stays 1
std 1
stepfather 2
still 1
stole 1
story 1
streit 1
stripping 1
struggles 1
succeeds 1
such 1
support 2
supposed 1
supposedly 1
survival 1
surviving 1
take 1
takes 3
taking 1
tears 1
teenagers 1
than 1
that 17
the 25
their 6
them 7
there 2
these 1
they 8
third 1
time 1
to 44
together 1
toward 1
treats 1
tricks 1
truck 1
trying 1
turns 1
united 1
until 2
up 6
uses 1
various 1
vegas 5
very 1
vice 1
virginity 1
voices 1
wakes 1
wants 1
was 1
way 1
well 1
were 2
when 1
while 2
whitney 8
whitneys 1
who 2
whom 1
will 1
winkler 1
with 32
within 1
work 1
worker 1
works 1
worries 1
would 2
year 1
young 1
younger 1
zion 1
