4579291
/m/0c9v8y
/m/0c9v8y
Donald Harington

{"/m/02xlf": "Fiction"}
12yearold 1
27yearold 1
a 20
adaptation 1
after 4
all 1
allover 1
allowing 1
already 1
also 2
america 1
an 4
and 5
another 1
anticipated 1
apartment 1
apotheosis 1
aptly 1
arcaty 2
arkansas 1
around 2
arrives 1
as 6
at 1
attractive 1
author 1
autobiography 2
avoid 1
babysitting 1
bath 1
be 1
becomes 1
becoming 1
bed 1
befriends 2
begins 1
being 2
benefits 1
bestseller 1
birthday 1
boy 6
boys 2
but 2
by 3
called 3
car 1
caught 1
character 1
cherry 1
class 1
coe 1
complex 1
confesses 1
considerably 1
constitute 1
contraceptives 1
counterpart 2
course 1
creative 1
days 1
delinquent 1
described 2
describes 1
discovers 1
disguise 1
does 2
donald 1
during 1
dzhordzha 1
ekaterina 10
employer 1
engages 1
engram 1
eureka 1
eventually 1
except 1
exiled 1
facet 1
fame 1
faunlet 1
fiction 1
first 1
for 2
forces 1
from 2
further 1
georgie 2
gets 1
getting 1
girl 1
giving 1
go 1
had 1
hair 1
hardly 1
harington 2
haringtons 1
has 2
have 1
he 1
help 1
her 10
him 3
his 8
hollywood 1
hotel 1
houseboy 1
how 1
immediately 1
improbable 1
in 9
indirectly 1
ingeniously 1
ingraham 1
into 3
introduces 1
introductory 1
investigation 1
invites 1
invoking 1
is 2
islamber 1
it 1
jason 2
job 1
just 1
juvenile 1
kenny 5
kicks 1
last 1
later 1
layered 1
leave 1
lice 1
lifestory 1
liking 1
lives 1
lolita 2
loretta 1
lost 2
louder 1
luxurious 1
magazine 1
magic 1
male 1
massage 1
matures 1
meanwhile 1
meet 1
meets 1
memory 1
months 1
more 2
mother 1
move 1
moves 1
much 1
mycology 1
nabokov 3
named 3
narrative 1
new 1
not 4
novel 3
novelist 1
novels 1
nymphet 1
obsessed 1
of 14
old 1
on 2
one 2
only 2
out 3
ozarks 1
parts 1
penthouse 1
pit 1
playboy 1
precocious 1
pregnancy 1
presence 1
primal 1
princess 1
propel 1
pubertal 1
pubescent 1
published 1
publishing 1
pyrotechnics 1
real 1
realism 1
relationship 3
relationships 2
reminds 1
rents 1
revised 1
room 1
russia 1
screen 1
seduces 1
series 1
setting 1
settles 1
several 1
sex 1
sexual 2
sharon 1
she 8
short 1
so 1
sometimes 1
son 1
speak 1
springs 1
star 1
stay 1
stealing 1
steals 1
stick 2
stories 1
successful 1
suggest 1
svanetian 1
takes 1
teacher 1
teaching 1
term 1
than 1
that 3
the 15
their 1
there 2
they 2
this 2
to 13
town 2
travis 6
tribute 1
turning 1
turns 1
twelfth 1
twelve 2
twelveyearold 1
two 2
university 1
virgin 1
virginity 2
vladimir 1
was 1
when 1
where 1
which 2
while 1
who 6
whom 1
with 6
woman 2
works 1
writer 1
writing 2
year 1
young 2
