16091126
/m/03qny4m
/m/03qny4m
Mercedes Lackey
1997
a 10
ability 1
about 1
after 2
all 2
along 2
amberdrake 6
and 19
animals 1
another 1
any 2
are 3
arrest 1
arrested 1
arrive 1
as 4
aspects 1
at 1
await 1
back 1
based 1
be 2
been 1
before 1
being 1
belonged 1
black 2
brings 1
by 2
called 1
care 1
cataclysm 2
causes 1
children 1
cinnabar 1
city 9
claim 1
claiming 1
communicate 1
connection 1
consist 1
contact 1
contacted 1
council 4
country 1
crewmen 4
crimes 1
daughter 1
death 1
decide 3
deeds 1
discussion 1
dock 1
does 1
end 2
enough 1
escaped 1
established 3
exile 1
exit 2
far 1
finally 1
fled 1
flew 1
flight 1
for 3
forests 1
from 3
gates 1
govern 1
gryphon 9
gryphons 4
had 1
hadenalith 3
haighlei 2
has 4
have 6
he 1
her 1
hertasi 1
highly 1
him 2
his 3
home 1
identified 1
illegally 1
in 2
instant 1
interruption 1
is 8
its 1
jail 1
judeth 5
kaledain 1
kechara 2
keeneth 1
kestrachern 1
kleshya 1
kyree 1
land 3
large 1
later 1
leader 1
leaders 1
led 1
life 1
lost 1
mage 3
magic 1
makes 1
man 2
many 1
markers 1
meaning 1
members 4
mind 1
molding 1
named 1
nation 4
need 1
never 1
newly 1
not 2
notice 1
now 1
ocean 2
of 17
on 4
one 3
or 1
orders 1
other 1
over 1
part 2
people 2
place 2
position 1
powers 1
practicing 1
preparing 1
presuming 1
pronounced 1
reached 1
recruited 1
revenge 1
saw 1
seriously 1
severe 1
shape 1
ship 1
ships 2
showed 1
side 1
silver 2
silvers 1
skandranon 6
slave 1
snowstar 1
so 1
some 2
spotted 1
stand 1
stay 1
storms 1
story 1
swears 1
tadrith 1
take 2
takes 1
tamsin 1
ten 1
tervardi 1
that 12
the 47
their 7
then 1
there 1
they 3
this 2
three 1
through 1
time 1
to 14
traveled 1
tribe 1
unstable 1
up 1
upset 1
used 1
using 1
very 2
wars 1
weakened 1
while 1
white 6
will 1
windsong 1
winterhart 1
with 4
woman 1
years 1
zhaneel 1
