24661111
/m/080njdq
/m/080njdq
Edward Rutherfurd
2009-09-03
17th 1
200 1
a 4
action 1
adlers 1
african 1
against 1
algonquian 1
all 1
also 2
americans 1
amsterdam 2
an 1
and 5
another 1
are 2
army 1
arrival 1
as 3
at 1
away 1
backdrop 1
because 1
become 1
birth 1
both 1
breaks 1
but 1
by 2
campos 1
carusos 1
century 1
chapter 2
chapters 1
character 1
characters 1
chronicles 1
city 6
colonists 1
comprise 1
context 1
continue 1
cultural 2
date 1
dates 2
descendants 1
dutch 1
dyck 1
dyckmasters 1
dycks 1
early 1
end 1
english 1
entire 1
european 1
evolves 1
experiences 1
families 4
family 3
farther 1
few 1
fictional 3
first 1
follow 1
follows 1
forge 1
founders 1
fourth 1
from 2
gave 1
geographical 1
georgian 1
german 1
great 1
groups 1
grows 1
growth 1
helps 1
historical 2
histories 1
history 2
home 1
hudson 1
immigrant 1
immigrants 1
in 9
include 1
intercultural 1
intertwining 1
into 1
irish 1
island 1
italian 1
its 1
jewish 1
kellers 1
larger 1
lines 1
live 1
lived 1
local 1
london 1
looks 1
main 1
manhattan 1
map 1
maps 1
master 1
meet 2
members 1
mix 1
mohawk 1
more 1
most 2
multicultural 1
narrative 2
native 1
new 8
novel 1
novels 1
odonnells 1
of 16
one 3
or 1
out 1
part 1
place 2
play 1
previous 1
progresses 1
prosper 1
provides 1
providing 1
puerto 1
quash 1
reader 3
region 1
relations 1
remain 1
represent 1
return 1
rican 1
right 1
rutherfurd 2
saga 1
sections 1
set 1
slave 1
sometimes 1
soon 1
stories 1
story 1
strands 1
successive 1
summer 1
take 1
takes 1
the 47
their 1
there 1
these 1
three 2
through 5
to 3
trade 1
traditions 1
tribes 1
twentyseven 1
two 1
typified 1
unifying 1
unite 1
unwilling 1
up 2
valley 2
van 3
various 1
wanderers 1
washington 1
waves 1
we 2
welldrawn 1
which 1
who 4
whose 1
with 2
years 1
york 6
yorktown 1
