14434638
/m/03d3fn5
/m/03d3fn5
Lin Carter
1972-11
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
14 1
a 22
about 2
aids 1
akhmim 1
also 2
an 3
and 12
another 2
ardha 1
are 4
around 1
arrow 1
as 8
at 2
author 3
band 3
banished 2
based 1
be 2
beautiful 1
before 1
bengal 1
blood 1
body 3
bows 1
bright 1
brought 1
but 1
by 8
calls 1
can 1
cannot 1
casketwhich 1
casts 1
causes 1
celebrating 1
cheers 1
chong 10
city 5
clad 1
cloudcovered 1
collection 1
confronted 1
consciousness 1
considered 1
consternation 1
covered 1
cruelfaced 1
daggeronly 1
day 1
dragonflies 1
drawn 2
earth 1
earthly 1
elephantsized 1
enemy 1
escape 2
explains 1
fair 1
fall 1
falls 1
father 1
female 1
festival 1
find 1
finds 2
flower 1
followed 1
follows 1
for 2
friend 1
friends 1
from 3
getting 1
green 3
has 2
he 10
hear 1
her 1
high 1
his 2
horsesized 1
huge 1
humans 2
hundred 1
hunt 1
immediately 1
in 7
inside 1
into 1
is 8
it 4
its 2
jewel 1
jewelcity 2
kill 1
killed 1
known 4
language 1
laonese 1
large 1
larger 1
later 6
learns 1
led 1
like 1
lizard 2
looks 1
love 1
loves 1
makes 1
man 3
manages 1
mating 1
men 1
mighty 1
miles 1
most 1
named 1
narrator 2
niamh 8
night 2
nobles 1
novel 1
of 17
on 6
one 5
or 1
other 1
out 4
outlaw 1
outlaws 1
over 1
panthon 1
pens 1
perspective 1
phaolon 1
planet 3
point 3
poisonat 1
poisoned 1
presents 1
preserved 2
princess 2
prior 1
proposal 1
regains 1
relearn 1
rescued 1
rescuers 1
retaining 1
retinue 3
reveals 1
revives 1
revolves 1
riding 1
rival 1
ruler 3
secret 2
seem 1
sees 2
series 1
several 1
siona 3
size 1
sky 1
slain 1
sligon 2
somewhat 1
sorcerer 1
soul 2
sparkles 1
speciesbut 1
speed 1
spider 1
spilled 1
splendid 2
star 3
strikes 1
succumbing 1
surface 1
swords 1
taken 1
than 1
that 7
the 41
they 2
tiger 1
to 16
took 1
towards 1
trees 1
turns 1
two 1
under 1
universal 1
unrequited 1
up 1
vampire 1
warrior 1
was 5
weapons 1
weaselfaced 1
web 1
when 2
which 6
who 3
whose 2
with 4
wound 1
xoph 1
year 1
years 1
yellow 3
yellowclad 1
yet 1
ythid 1
yurgonbut 1
zaiph 2
zaiphs 1
