2406541
/m/079x45
/m/079x45
John Rechy
1963
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
160s 1
a 3
across 1
all 1
an 2
and 4
angeles 1
another 1
as 3
bedridden 1
book 2
boy 1
certain 1
chapters 1
characters 1
city 1
country 1
emotional 1
enthusiast 1
extent 1
focuses 1
follows 1
francisco 1
from 1
has 1
he 1
hustler 2
hustlers 1
in 3
including 1
locations 1
los 1
man 3
meets 1
narrator 1
nature 1
new 2
novel 1
of 3
old 1
older 1
on 1
orleans 1
peculiar 1
peculiarity 1
personages 1
range 1
rechy 1
referring 1
relationships 1
san 1
set 1
sexual 1
sm 1
term 1
that 1
the 10
their 2
there 1
these 1
throughout 1
to 2
travels 1
trysts 1
unnamed 1
uses 1
various 1
visits 1
well 1
when 1
while 1
with 1
working 1
york 1
young 1
youngman 1
