27420047
/m/0b__btm
/m/0b__btm
Brian Moore
1990-08-01
a 1
affair 1
all 1
also 1
an 1
and 3
andrea 1
apolitical 1
are 4
army 1
around 1
aspects 1
attending 1
bombladen 1
breakdown 1
by 1
canadian 1
car 1
dillon 4
drive 1
extramarital 1
female 1
following 1
force 1
function 1
he 1
held 1
his 3
hostage 1
hotel 2
house 1
however 1
in 2
including 1
infidelity 1
ira 1
irish 1
kill 1
leading 1
manager 1
manages 1
members 2
men 1
mental 1
michael 1
militant 1
moira 2
novel 1
of 5
orange 1
order 2
plot 1
present 1
protagonist 1
protestant 1
protestants 1
provisional 1
psychology 1
republican 1
revelation 1
reverend 1
revolves 1
same 1
terrorists 1
that 1
the 9
their 1
throughout 1
to 3
various 1
who 1
whom 1
wife 1
with 1
writer 1
