5297517
/m/0dd679
/m/0dd679
Wilson Rawls
1976
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
156 1
1th 1
22 3
a 16
about 1
accepts 1
advice 1
after 1
again 4
all 1
almost 1
also 2
always 1
and 30
angry 2
animal 1
apples 5
are 3
around 1
arrives 1
as 3
asking 1
astonished 1
at 2
attack 1
attempt 1
back 2
be 1
because 1
berry 10
bites 1
book 1
bottoms 1
bought 1
boy 1
break 1
buggy 1
but 3
butterfly 1
buy 2
buys 3
by 3
cage 1
caliber 1
call 1
can 2
capable 1
catch 4
catches 1
century 1
chase 1
chores 1
circus 3
city 2
close 1
coconuts 1
come 2
consult 1
cross 3
daily 1
daisy 8
day 2
decides 3
dig 1
do 1
does 1
doesnt 1
drunk 4
during 2
enough 2
fails 2
fairy 1
feeling 1
fight 1
find 3
finds 2
first 1
for 7
fourteenyear 1
friends 1
from 1
general 1
get 6
gets 3
gives 6
go 3
goes 4
going 1
gone 1
grandpa 6
granting 1
grows 1
gun 2
handle 1
hands 1
happy 1
has 1
have 2
he 16
heads 1
her 3
hide 1
hides 2
high 1
hills 1
him 7
his 10
holding 1
hole 1
home 4
house 1
how 2
however 1
in 6
injured 1
is 9
it 3
items 1
its 1
jay 25
jimbo 5
kisses 1
late 1
later 2
lee 1
leg 2
library 1
lifetime 1
liking 1
lips 1
little 2
longer 1
lunch 1
make 1
mama 3
many 2
middle 1
mind 1
miss 1
mixture 1
money 1
monkeys 16
name 1
named 1
nearby 1
net 1
never 1
next 1
night 2
no 1
notices 1
nurse 1
of 7
off 2
offers 1
oklahoma 2
old 1
on 8
once 2
open 1
operation 3
or 1
orders 1
out 3
owner 1
papa 2
passes 1
pins 1
place 1
places 1
plan 3
pony 5
pull 1
reaches 1
receives 1
recovering 1
red 3
releases 1
reluctantly 1
research 1
responds 1
rest 1
return 3
reward 1
ring 1
river 1
rocks 1
rowdy 2
run 1
satisfied 1
say 1
scared 1
scratches 1
second 1
sees 1
sets 2
shares 1
she 8
shoots 1
simply 1
since 1
sister 1
small 1
so 3
something 1
spring 2
stick 1
still 1
stolen 2
stop 1
store 1
storm 1
strings 1
struggle 1
summer 1
tahlequah 1
take 2
takes 1
talk 1
tell 1
telling 1
tells 3
that 9
the 52
their 1
them 8
then 2
there 1
these 1
they 12
this 4
threat 1
to 38
together 1
town 1
train 2
trainer 1
trap 1
traps 4
treatment 2
tree 3
trigger 1
trip 1
try 2
turns 1
two 2
under 1
unsteadily 1
up 2
use 2
uses 1
using 1
very 2
wakes 1
wants 2
was 1
weeks 1
what 1
when 8
whenever 1
where 1
which 2
while 1
whiskey 1
who 1
wished 1
wishes 1
wishing 1
with 6
without 1
wrote 1
