14002738
/m/03cqpvm
/m/03cqpvm
Eric Newby

1500 1
a 12
acres 1
after 1
against 1
agricultural 1
although 1
an 1
and 9
angiolina 1
annual 2
another 1
anything 1
are 3
as 5
asparagus 1
at 2
barrelshaped 1
baskets 1
bawdy 1
before 2
beset 1
between 2
bifocals 1
bigonci 1
blocking 1
book 1
botti 1
bountiful 1
break 1
but 1
cannot 1
casa 1
castagni 1
closest 1
cockroaches 1
colourful 1
completely 1
consisting 1
contacts 1
contadini 1
cook 1
copious 1
crushed 1
dada 2
description 2
descriptions 1
dilapidated 1
dining 1
drunk 1
during 1
eaten 1
eric 2
even 1
everything 1
exchanged 1
families 1
family 2
finally 2
finds 1
food 1
for 3
forgets 1
four 1
full 2
funghi 1
gather 1
goes 1
gossip 1
grape 1
grapes 1
half 1
hard 1
harvest 2
harvesting 1
have 1
he 3
help 1
helps 1
him 1
his 3
house 3
huge 1
i 1
in 6
individual 1
initiate 1
insists 1
interesting 1
into 1
intractable 1
intricacies 1
is 7
it 1
italian 2
italy 1
its 1
join 1
judge 1
laborious 1
large 1
last 1
law 1
legal 1
less 1
life 1
lifting 1
lire 1
long 1
lying 1
machinery 1
man 1
manage 1
managing 1
meals 1
members 1
merenda 1
mice 1
million 1
move 1
moves 1
navigate 1
nearly 1
neighbour 2
neighbourhood 1
neighbouring 1
neighbours 1
newbys 4
of 15
on 2
once 1
outside 3
owing 1
own 1
owner 1
passes 1
path 1
picnics 1
plague 1
prices 1
problems 1
process 1
purchase 2
quantities 1
renovate 1
result 1
right 2
rising 1
roped 1
sales 1
see 1
sees 1
several 1
shoulder 1
signor 1
signora 1
social 1
some 1
sprightly 1
start 1
strength 1
stupendous 1
successful 1
such 1
suit 1
system 1
table 1
ten 1
that 2
the 23
their 5
them 3
there 2
they 3
through 2
to 5
two 1
using 1
various 1
vendemmia 1
very 2
vessels 1
vineyards 1
visit 1
want 1
way 2
well 1
what 1
when 3
whenever 1
which 4
who 3
widow 1
wild 1
win 1
wine 1
with 2
work 1
year 2
years 1
