5250782
/m/0d9z5f
/m/0d9z5f
Marge Piercy

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c082": "Utopian and dystopian fiction"}
a 13
act 1
action 1
actions 2
after 1
agenda 1
agrarian 1
also 1
alternate 1
an 3
and 11
androgynous 1
appearance 1
are 3
as 3
at 1
be 2
been 2
begins 1
but 2
byproducts 1
classsubordination 1
commonplace 1
communal 1
communicate 1
community 1
confrontation 1
connie 5
consuelo 1
consumerism 1
continues 1
control 1
convenient 1
course 1
dead 1
death 1
decisions 1
detention 1
determine 1
did 1
disease 1
dissemination 1
do 1
does 1
dont 1
drugs 1
dystopia 1
dystopian 1
early 1
earthbound 1
elite 1
end 1
ensure 1
environmental 1
exaggerated 1
exist 2
existence 1
experiments 1
features 1
few 1
fight 1
figure 1
for 2
forced 1
from 3
fulfilled 1
future 6
gives 2
goals 1
grotesquely 1
had 1
harvesting 1
have 1
her 8
herself 1
hispanic 1
history 2
hitting 1
homophobia 1
hospital 1
however 1
humans 1
i 2
im 1
imaginary 1
imperialism 1
important 1
in 7
indication 1
inspires 1
institution 1
is 8
it 2
kill 1
late 1
learns 1
literally 1
little 1
live 1
living 1
lobotomylike 1
longer 1
luciente 4
majority 1
makes 1
mattapoisett 2
may 2
meant 1
mental 3
mindcontrol 2
moods 1
more 1
movements 1
named 1
nevertheless 1
niece 1
no 1
not 3
novel 1
now 1
number 1
of 11
on 1
once 1
one 3
only 2
operation 1
or 3
organs 1
penalty 1
phallogocentrism 1
pimp 1
pivotal 1
placed 1
planned 1
plastic 1
platforms 1
political 1
pollution 1
population 1
position 1
possibilitymdash 1
possible 2
powerlessness 1
presumably 1
prevent 1
prevents 1
psychotropic 1
puts 1
racism 1
radical 1
ramos 1
realizes 1
recently 1
released 1
right 1
sees 1
seventies 1
sexual 1
sexuality 1
she 4
since 1
sixties 1
social 1
solaces 1
solely 1
space 1
subdue 1
surgery 1
surgical 1
taken 1
technology 1
that 7
the 17
their 1
them 1
these 1
think 1
thirtysevenyearold 1
though 1
time 2
to 7
too 1
totalitarianism 1
tried 1
ultimately 1
utopia 1
utopian 1
valued 1
victory 1
violent 1
visions 1
war 1
we 1
wealthy 1
whether 1
which 2
will 2
with 4
woman 3
women 2
world 1
young 1
