5024077
/m/0c_by7
/m/0c_by7
Judy Blume
1970
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
a 5
about 3
accuse 1
again 1
also 1
ambivalent 1
an 1
and 4
announces 1
another 1
are 2
argument 2
attitudes 1
away 1
barringer 2
barringers 1
be 1
because 1
become 1
becomes 1
befriending 1
best 1
black 2
blacks 1
but 2
community 1
complains 1
confronts 1
considering 2
cool 1
creates 1
decided 1
decides 1
determine 1
discovers 1
distress 1
do 2
ensuing 1
family 2
fascinated 1
finds 1
flatly 1
for 1
friend 1
friends 2
garber 2
garbers 5
go 1
harassing 1
has 2
have 2
having 1
her 6
hoping 1
house 1
however 1
if 1
iggie 3
in 2
into 2
is 2
issue 1
japan 2
kids 2
landon 4
later 1
lawn 1
live 1
makes 1
members 1
misses 1
morning 1
move 2
moved 2
moving 4
mr 1
mrs 4
much 1
nails 1
neighbor 1
neither 1
next 1
nor 1
not 2
of 1
old 1
on 1
only 2
organizes 1
parents 5
petition 2
pressure 2
questionnaire 2
racism 1
raise 1
really 1
refuses 1
seem 1
seriously 1
she 9
sign 2
soon 2
stowaway 1
support 1
that 5
the 13
them 1
they 3
thinks 1
though 1
three 1
to 10
tries 1
ultimately 1
up 1
visits 1
who 1
whose 1
will 2
winnie 7
with 4
