13529100
/m/03c8f1w
/m/03c8f1w
Angela Knight

a 5
abilities 1
after 1
an 1
and 2
ansgar 1
answer 1
any 1
as 3
brother 1
brutal 1
burning 1
but 1
cachamwri 1
carolina 1
case 1
city 1
creature 1
dead 1
deadly 1
decided 1
delighted 1
department 1
diana 5
dog 1
down 1
enemy 1
erotic 1
even 1
fantastic 1
female 1
for 3
galatyn 1
give 1
hard 1
has 2
he 2
heat 1
help 1
helping 1
her 5
him 1
his 1
hunt 1
in 2
investigate 1
is 4
isnt 1
it 1
just 1
king 2
learns 1
llyr 4
londen 1
magical 1
make 1
manger 1
moon 1
moonlighting 1
more 1
murder 1
murderous 2
needs 2
not 3
of 4
one 1
only 3
otherworldly 1
out 1
playground 1
police 2
prayers 1
rides 1
rogue 1
sexual 1
she 2
sidhean 1
sidheand 1
sights 1
small 1
south 1
sworn 1
take 1
the 13
they 1
time 1
to 5
toward 1
town 2
turn 1
turns 1
urges 1
vampire 5
verdaville 2
wants 1
warrior 1
werewolf 1
werewolves 1
when 1
while 2
willing 1
with 2
works 1
