12249923
/m/02vxksd
/m/02vxksd
James Herbert
1996
{"/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 3
abneg 1
accept 1
afflicted 1
ago 1
aid 1
almost 1
alone 2
american 2
an 1
and 6
as 1
attempt 1
being 1
blackshirts 1
blood 2
britain 1
by 1
capture 3
constantly 1
contain 1
corrupted 1
death 1
desperate 1
detests 1
diseased 1
do 1
down 1
draws 1
end 1
ended 1
enemy 1
entire 1
escapes 1
even 1
fellow 1
follows 1
force 1
forces 1
friend 1
from 1
gang 1
german 2
has 1
hidden 1
him 2
himself 1
his 5
hoke 6
hubble 2
if 1
in 2
is 1
its 1
leader 1
life 1
lives 1
long 2
lord 1
low 1
navigator 1
nearer 1
of 3
on 1
or 1
out 1
over 1
pilot 2
presence 1
propaganda 1
question 1
reader 1
run 1
sanity 1
save 1
saviours 1
sends 1
shot 1
since 1
something 1
story 1
streets 1
survivors 1
sympathise 1
terminal 1
terrible 1
thanks 1
the 11
their 1
this 1
though 1
three 2
to 12
transfusion 1
two 1
unable 1
use 1
used 1
via 1
war 1
who 2
will 1
with 2
women 1
wonder 1
years 1
