20843815
/m/058shjw
/m/058shjw
Gene Wolfe
2007
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
17thcentury 1
a 27
abandons 1
about 1
abraham 1
after 1
against 2
allied 1
america 1
an 2
and 29
angry 1
apparently 1
are 3
around 1
as 5
assumes 1
at 3
avoid 1
away 1
back 1
be 1
beaten 1
becausemdashshe 1
become 1
becomes 3
book 3
bound 1
boy 1
brig 1
brother 4
buccaneer 1
buccaneers 1
buried 1
burt 9
but 4
by 4
calls 1
captain 2
capture 2
captured 2
care 2
career 1
casino 1
charge 1
child 1
childhood 2
chris 20
christophe 1
christopher 1
command 1
communism 1
communists 1
crew 2
crisforo 1
cuba 3
cuban 1
deduces 1
digressions 1
dying 1
ends 1
engages 1
english 2
enjoys 1
enter 1
enters 1
escapes 1
estrellita 4
events 1
eventually 1
experiences 1
explains 1
fall 1
farm 1
farmer 1
father 1
few 1
fights 1
finds 2
finishing 1
fishermen 1
fleet 1
follow 1
following 1
for 2
former 1
freed 1
french 1
from 1
galley 1
gives 1
go 1
goes 1
gold 2
gone 1
guzmn 4
had 2
has 3
hato 1
havana 1
havanamdashbut 1
have 1
having 1
he 24
heads 1
helps 2
her 4
hero 1
herself 1
hiding 1
him 11
hires 1
his 14
hispaniola 1
home 1
horsedrawn 1
husband 1
ignacio 4
in 15
included 1
including 1
infatuated 1
interspersed 1
into 2
is 12
islands 1
it 2
its 1
jaime 1
join 1
knew 2
last 1
later 2
latin 1
lay 1
learning 1
life 1
lives 2
love 1
lovers 1
loves 1
lying 1
maid 2
makes 1
manages 1
manuscript 1
many 1
maps 1
married 1
marry 1
mass 1
massacres 1
master 1
meaning 1
meet 2
meets 1
mexican 1
mexico 2
miami 1
military 1
mistress 1
monastery 4
moves 1
much 1
mule 1
named 2
night 1
no 1
notices 1
novia 7
novice 1
of 11
older 1
on 8
one 4
order 1
other 1
out 2
owner 1
page 1
panama 1
passengers 1
pearl 1
people 1
peruvian 1
picks 1
piracy 2
pirate 2
pirates 2
place 2
plane 1
plans 1
point 1
port 1
priest 1
puts 2
radio 1
raped 1
real 1
realized 1
reclaims 1
reconcile 1
recounts 1
recover 1
refuses 1
rejoins 1
relationship 1
remembers 1
rescued 1
resists 1
rest 1
returns 2
reveals 1
ro 1
roads 1
rob 1
royal 1
run 1
runs 1
sailing 1
sails 1
saysmdashshe 1
school 1
seamanship 1
self 2
seminary 1
sent 1
seora 1
sets 1
settler 1
she 2
ship 6
shipmates 1
short 1
sicilianamerican 1
signs 1
singlehanded 1
slave 1
slaves 1
small 1
smaller 1
somewhat 1
south 1
spain 2
spanish 5
states 1
still 1
stop 1
story 1
successful 1
summarizes 1
sun 1
survive 1
sweetheart 1
take 3
takes 4
taking 1
temptation 1
ten 1
than 1
that 4
the 34
theft 1
their 1
them 2
then 2
there 2
thereafter 1
they 6
though 1
time 1
to 23
too 1
train 1
treasure 3
twice 1
under 1
united 1
unpaved 1
unsuccessful 1
until 1
up 1
veracruz 4
visit 1
wagon 1
walks 1
warship 1
was 2
watch 1
way 2
wealthy 1
wears 1
when 3
where 3
which 1
while 1
who 4
wife 2
wilderness 1
wiseguy 1
with 7
woman 2
work 1
wrecked 1
writing 1
young 2
