299543
/m/01rqrz
/m/01rqrz
Frederick Forsyth
1984-08
168 1
186 1
a 29
about 1
academic 1
accidental 1
admits 1
adopt 1
adversary 1
africa 1
african 2
after 1
afterwards 1
against 1
agent 5
air 1
alive 1
all 1
alliance 1
also 1
although 1
altogether 1
aluminum 1
american 2
an 6
and 24
anonymously 1
antiamericanism 1
anticommunist 1
apartment 1
around 1
arrives 2
artefacts 1
as 7
assembled 1
at 3
atlantic 1
atomic 2
attacked 1
aurora 4
base 1
be 5
been 1
before 3
begin 1
being 1
believes 1
bentwaters 1
berenson 7
blackmails 1
blown 1
bomb 3
breaks 1
british 3
bumbling 1
but 5
by 8
called 1
can 1
case 2
chesterfield 1
chief 1
civil 1
closing 1
collecting 1
come 1
commits 1
committed 1
component 1
confronts 2
conjunction 1
connected 1
considered 1
contravention 1
country 3
couriers 4
cover 1
crooks 1
custody 3
czech 1
day 1
deep 1
deliberate 1
deliberately 1
denied 1
detonate 1
detonation 1
device 1
devises 1
did 1
diplomat 1
director 1
disarmament 2
disarmamentalthough 1
discovers 2
discs 2
disguised 1
disinformation 3
dismantle 1
documents 4
double 1
drafts 1
due 1
dying 1
eighteen 1
election 3
element 1
embarrassing 1
employment 1
enables 1
end 1
england 3
enough 1
ensure 1
europe 1
eve 1
evidence 1
existence 1
exploded 1
exploiting 1
exploring 1
explosion 1
exposed 1
express 1
expulsion 1
fact 2
false 1
favour 1
finances 1
find 1
findings 1
finds 3
flag 1
followed 1
for 8
force 1
forces 1
forged 2
fourth 1
franz 2
from 5
full 1
general 7
george 1
glasgow 1
gru 1
gunny 1
hard 3
harmlesslooking 1
has 4
have 1
he 9
head 1
heathrow 1
him 4
his 12
home 1
hospital 1
house 3
however 1
identifies 2
if 1
ignores 1
implication 1
in 25
including 1
infiltration 1
information 1
initiator 1
instead 1
intelligence 2
intends 1
into 6
investigates 2
investigation 1
ipswich 1
irvine 4
is 18
it 1
its 1
jan 1
jim 1
john 1
karpov 4
key 1
kgb 5
kim 1
kinnock 1
know 1
krilov 3
labour 4
last 1
leader 2
leadership 1
leading 1
leaked 1
leaking 1
left 5
located 1
location 2
london 1
looking 1
lucrative 1
major 2
man 1
manage 1
manages 1
manifesto 1
marais 2
marxistleninist 1
master 1
meanwhile 1
media 1
memorandum 1
metal 1
metallurgist 1
mi5 6
might 1
misjudgment 1
moderate 1
month 1
months 1
moscow 2
most 2
must 1
name 1
named 1
nato 1
near 1
neds 1
neil 1
network 1
new 2
next 1
nigel 7
nonproliferation 1
north 1
not 3
noted 1
notorious 1
novel 1
nuclear 1
obtain 1
obviously 1
of 22
off 1
officer 1
on 3
one 3
only 1
operation 4
operations 1
or 1
organization 1
other 3
oust 1
outer 1
outofplace 1
over 1
own 1
packages 1
part 1
parts 1
party 6
pass 2
passed 1
passionate 1
passport 2
patience 1
patriot 1
petrofksy 1
petrofsky 7
philby 6
piece 1
plan 5
plant 1
politically 1
polonium 1
populist 1
president 1
preston 12
privatesector 1
professional 1
protocol 1
publicity 1
pushed 1
questioning 1
radical 1
radio 1
rather 1
rawlings 1
rented 1
reports 1
repudiation 1
resigns 2
responsible 1
retirement 2
revealing 1
rewarded 1
role 1
russian 4
sabotaging 2
sack 1
sailor 1
same 1
sas 2
say 1
scheduled 1
search 1
secret 1
secretary 2
send 1
sending 1
senior 2
sent 2
servant 1
sets 1
shoots 1
shows 2
sir 7
sis 1
small 1
smuggled 2
so 2
sometime 1
son 2
south 3
soviet 1
spy 1
stating 1
stolen 2
storm 1
strategist 1
strategy 1
submit 1
subsequent 1
subsequently 1
suicide 1
superior 3
support 2
supporter 1
suspect 2
suspects 1
suspicion 1
take 1
taken 4
team 2
than 1
that 13
the 68
their 1
them 2
theory 1
there 2
they 4
thief 1
three 1
through 2
thwarting 1
time 1
tin 1
to 34
tobacco 1
top 1
towards 1
trails 1
traitor 2
transmitter 2
travels 1
treaty 2
tries 1
true 1
truth 1
turn 1
turns 1
two 1
uk 1
ultimately 1
uncover 1
under 3
understood 1
unilateral 2
unintentionally 1
unofficially 1
unusable 1
up 3
use 1
uses 1
using 2
vain 1
valeri 1
various 1
via 1
victory 2
wanting 1
was 4
wave 1
way 1
weapon 1
week 1
were 2
western 1
when 1
where 2
who 5
will 5
win 1
winkler 4
wins 1
wishes 1
with 6
withdrawal 1
word 1
work 2
worried 1
wound 1
year 1
