19514287
/m/04n4xv8
/m/04n4xv8
Theodore Dreiser
1911
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 9
adopts 1
after 3
agrees 1
all 1
and 8
anticipating 1
as 1
at 1
attention 1
become 1
becomes 2
behind 1
benevolence 1
birth 1
brander 1
business 1
but 4
by 1
chicago 1
child 1
class 1
cleveland 1
columbus 1
consequently 1
continues 1
daughter 4
death 2
decides 1
declares 1
demands 1
destitute 1
dies 1
disapproval 1
discards 1
discovers 1
does 1
europe 1
even 1
falls 1
family 5
father 1
finds 1
for 2
former 1
fortune 1
from 1
funeral 1
generosity 1
george 1
gerald 1
gerhardt 1
gives 1
grateful 1
has 1
he 5
hearing 1
helps 1
her 11
him 4
his 11
hotel 1
ill 2
impressed 1
in 4
infatuated 1
inherit 1
instead 1
intercedes 1
is 3
it 2
jennie 11
kane 6
lady 1
leave 1
leaves 1
leaving 1
lester 1
letty 2
live 1
loses 1
love 2
loves 1
maid 1
manufacturer 1
marries 1
marry 2
meets 2
mistress 1
mourning 1
moves 1
new 1
not 2
of 2
ohio 1
on 1
orphans 1
own 1
part 1
pregnant 1
pressure 1
prominent 1
prosperous 1
providing 1
resumes 1
revelation 1
secretly 1
senator 2
separate 1
shall 1
she 6
shifts 1
sleep 1
social 1
son 1
status 1
still 1
strong 1
substantial 1
successfully 1
tells 1
tends 1
terms 1
that 5
the 3
they 4
three 1
through 2
to 11
together 3
two 1
typhoid 1
unaware 1
unless 1
until 1
vesta 2
visit 2
where 2
while 1
who 2
will 3
wish 1
wishes 1
with 3
woman 2
work 1
working 1
years 1
yield 1
york 1
young 1
