22748513
/m/05zr7tl
/m/05zr7tl
Jack Whyte
1999
a 14
able 3
after 2
agrees 1
along 3
also 1
ambrosius 2
and 12
approached 1
are 5
arm 1
arrange 1
arrival 1
arrive 1
arrives 2
arthur 5
as 2
assist 1
at 5
attack 1
attacked 1
attempts 1
away 1
barracks 1
baths 1
be 1
bear 1
because 2
become 1
been 1
before 2
begin 1
beginning 1
best 1
book 2
both 1
brought 1
but 3
by 5
cambria 1
campaign 1
camulod 1
capture 1
captures 1
cast 2
causing 1
chapter 1
chondran 1
city 2
combat 1
commander 1
commissions 1
companions 1
condran 1
continues 1
crew 1
crews 2
decided 1
decides 1
deciding 1
dedalus 1
defense 1
defenses 1
derek 3
designed 1
developed 1
dies 1
duplicates 1
edge 1
end 2
enemies 1
ensue 1
event 1
events 1
expedition 1
fight 1
find 3
fleet 2
flight 1
for 4
fort 4
forty 1
friends 2
from 7
garrison 1
had 3
has 3
have 1
he 1
help 3
helped 1
him 1
his 11
home 1
hostile 1
how 1
however 2
human 1
in 9
intentions 1
intimidate 1
into 2
involved 1
ironhair 1
is 5
it 2
its 1
kill 1
king 2
kingdom 2
lady 1
lake 1
land 1
lands 1
leader 1
letter 2
liam 4
live 1
lives 1
local 1
loses 1
lucanus 1
maintain 1
maintains 1
many 1
mediabogdum 1
mediobogdum 2
merlyn 15
method 1
military 1
move 1
moves 1
navy 1
negative 1
neutral 1
news 1
of 25
on 3
one 1
order 2
originally 2
other 1
others 1
out 2
own 1
party 8
people 2
place 1
political 1
port 3
practice 1
previous 1
problems 1
productivity 1
prowess 1
publius 1
raiding 1
raise 1
ravenglass 8
reaches 1
rebuild 1
rebuilding 1
refused 1
remains 1
repel 1
rest 2
return 1
right 1
roman 3
romantically 1
rufio 1
safely 1
sanctuary 1
settle 1
several 2
shelagh 1
ships 1
shore 1
should 1
shows 1
since 1
slaughter 1
some 1
sons 2
soon 1
statue 1
storm 1
style 1
support 1
supposed 1
sword 1
swords 1
take 1
teach 1
that 6
the 43
their 1
there 1
they 4
this 2
to 24
town 1
train 1
training 1
try 1
turn 1
unarmed 1
upon 2
use 1
used 1
uses 1
using 1
value 1
varrus 1
via 1
violent 1
visit 2
warrior 1
weaponsfree 1
welcomed 1
while 2
who 1
winter 1
with 4
woman 1
wooden 1
works 1
would 1
years 1
zone 1
