1575405
/m/05cpmb
/m/05cpmb
John le Carré
1965-06
{"/m/06wkf": "Spy fiction"}
a 3
abandon 1
about 1
across 1
administrative 1
against 1
agent 1
agents 2
almost 1
an 2
and 14
are 2
as 1
at 2
away 1
based 1
been 2
being 2
blackfriars 1
book 1
border 2
breached 1
bureaucratic 1
by 2
captured 1
chief 1
circus 3
clumsy 1
colleagues 1
comes 2
conclusion 1
consequently 1
continues 1
control 1
convinces 1
days 1
debacle 1
decides 1
department 7
determine 1
discover 1
during 1
east 4
end 2
enemy 1
energies 1
enhancing 1
errors 1
evidence 1
expends 1
experienced 1
fate 2
find 1
follows 1
for 1
fred 1
game 1
george 1
german 2
germans 1
germany 2
give 1
glory 1
gradually 1
guard 1
hand 1
has 2
he 4
him 1
his 7
ii 1
immediately 1
in 2
including 1
inevitable 1
inexperienced 1
informs 1
intelligence 1
into 2
investigate 1
involving 1
is 3
its 6
killing 1
knowing 1
laurels 1
leclerc 3
led 1
leiser 7
location 2
london 1
losing 1
makes 1
making 1
man 1
military 1
missiles 2
mission 1
more 2
most 1
named 1
naturalised 1
nazis 1
near 1
no 1
not 1
of 4
on 3
one 1
operation 3
opportunity 1
organisation 1
organization 1
out 2
over 1
overlylong 1
placed 1
plays 1
pole 1
prestige 1
professional 1
prolonged 1
reactivates 1
receiving 1
referred 1
regain 1
relive 1
response 1
resting 1
right 1
road 1
rostock 1
rules 1
running 1
second 1
security 1
seizes 1
send 1
sends 1
set 1
since 1
slow 1
smiley 2
soviet 1
status 1
still 1
story 2
successes 1
tactfully 1
taken 1
tasks 2
territory 1
that 2
the 28
thereby 1
they 1
throughout 1
to 10
transmissions 3
trapped 1
truth 1
turf 1
uncertain 1
undefined 1
unknown 1
war 4
weak 1
west 1
when 1
with 3
without 1
world 2
young 1
