2040203
/m/06gzbv
/m/06gzbv
Walter Scott
1816
{"/m/0hwxm": "Historical novel"}
167 1
168 1
17th 1
18th 1
a 8
also 1
an 1
and 9
archbishop 1
are 1
around 1
as 6
assassins 1
at 3
balfour 1
battle 3
be 2
because 1
been 1
before 1
beliefs 2
bellenden 1
belongs 1
between 1
bothwell 2
bridge 2
bulk 1
burley 3
by 7
captured 1
causes 1
century 2
changed 1
chapter 1
claverhouse 3
climate 1
comic 1
conflict 1
consequence 1
covenanter 1
covenanters 2
cuddie 2
decided 1
defeat 2
defeated 1
describes 2
disputes 1
drumclog 1
duke 1
edith 2
ends 1
eventually 1
execute 1
exile 1
extreme 3
factional 1
factionalism 1
family 1
fanatical 1
fellow 1
fictitious 1
field 1
find 1
first 1
flees 1
following 2
for 1
forces 1
from 2
get 1
gets 1
going 1
graham 1
growth 1
has 1
hastened 1
he 3
headrigg 2
henry 3
him 4
his 3
in 9
initial 1
into 1
involvement 2
is 4
its 3
james 2
john 2
joins 2
late 1
later 1
leaders 1
leads 1
led 3
life 1
love 1
loyalties 1
loyalty 1
many 1
martyrs 1
meeting 1
methods 1
monmouth 1
morton 6
mother 1
narrator 1
nickname 1
not 1
novel 7
of 23
one 1
oppose 1
oppressors 1
other 1
overthrow 1
own 1
paterson 1
peasant 1
personal 1
political 1
presbyterianism 1
progress 1
provided 1
ready 1
rebel 1
rebellion 3
rebels 1
reconciled 1
reengraving 1
reestablishment 1
relief 1
religious 1
reluctantly 1
rescued 1
returning 1
robert 1
scene 1
scotland 3
scotsman 1
see 1
sharp 1
shelters 1
shows 1
since 1
some 1
soon 1
story 1
success 1
takes 1
tells 1
the 31
their 2
those 1
title 1
to 11
tombs 1
torture 1
traitor 1
travel 1
trial 1
uprising 2
vii 1
wanted 1
was 1
well 1
which 3
who 8
with 3
witness 1
