13756643
/m/03ch9t0
/m/03ch9t0


{"/m/0dwly": "Children's literature"}
a 6
always 1
and 6
attention 1
be 1
brother 1
by 1
called 1
centre 1
clay 2
dad 1
dinner 1
dramas 1
family 1
films 1
find 1
for 1
friends 1
gcses 1
girl 1
gran 1
grunts 1
has 2
he 1
her 1
his 1
horror 1
ingratiating 1
into 1
invites 1
is 3
it 1
its 1
jamze 1
life 1
likes 1
little 1
makes 1
many 1
much 1
mum 1
name 1
of 4
old 1
on 1
one 2
rather 1
refers 1
relates 1
sandor 1
she 2
sister 1
situation 1
sixteen 1
sophisticated 1
story 1
stranger 2
suave 1
sucked 1
taking 1
talks 1
than 1
that 2
the 7
themselves 1
this 1
title 1
to 3
turbulence 2
verge 1
watches 1
westerns 1
who 5
with 1
year 1
