3742773
/m/09yl25
/m/09yl25
Louis Sachar
1991
100 2
a 7
about 1
allows 1
also 1
and 13
as 2
at 4
audience 1
baseball 1
be 1
because 1
becomes 1
befriends 1
beginning 1
book 1
boone 1
but 2
by 2
calls 1
can 1
cards 1
change 2
class 2
classmates 1
closely 1
clown 1
club 1
collect 1
come 1
comedian 1
comic 1
compete 2
competition 1
contest 1
deciding 1
despite 1
doesnt 1
due 1
during 1
earning 1
effect 1
encourage 1
entering 1
even 1
excitement 1
expected 1
fact 1
fan 1
few 1
football 1
for 1
forces 1
forgets 1
friend 1
friends 2
gary 7
goon 1
has 2
have 1
he 18
head 1
help 1
him 7
himself 4
his 15
humor 1
if 1
image 1
in 2
instead 1
is 8
it 1
joe 2
joke 1
joking 1
kid 1
kids 1
last 1
later 1
laughs 2
like 1
look 1
luckily 1
makes 2
manages 1
mention 1
mistake 1
more 1
much 1
nervous 1
nervousness 1
never 1
newly 1
night 2
no 1
nobody 1
not 3
of 4
offer 1
old 1
on 4
one 1
or 1
others 1
over 1
pants 1
parents 1
picked 1
pies 1
placed 1
playing 1
point 1
popular 1
program 1
quit 1
quits 1
real 1
referred 1
rejoined 1
rejoinshttpwwwamazoncomdogsdontjokeslouissachardp067833722reader067833722 1
respected 1
routine 3
runs 1
school 1
selfproclaimed 1
seventhgrade 1
shaved 1
should 1
show 1
showing 1
smoothly 1
soon 1
spends 1
spray 1
standup 1
start 1
starts 1
stops 1
support 1
sure 1
surprise 1
talent 3
tell 1
telling 1
tells 1
that 1
the 12
them 1
then 2
they 1
this 2
three 1
throughout 1
throw 1
time 1
to 9
tries 1
turn 1
two 1
upset 1
water 1
weeks 1
wets 1
when 1
whether 1
which 1
who 2
wins 1
with 3
wreck 1
