12076495
/m/02vp0x2
/m/02vp0x2
Timothy Zahn

a 7
about 3
admits 1
affair 1
affection 1
after 2
agrees 1
allows 1
ambiguous 1
an 3
and 25
angered 1
are 1
at 5
attachment 1
attraction 1
away 1
awoken 1
back 1
be 2
beau 1
begin 1
begins 1
beth 19
between 1
blame 1
boyfriend 1
breaks 1
bud 4
but 3
by 4
calls 1
can 1
cannot 1
case 1
catch 1
caught 1
charlie 8
childish 1
clad 1
coitus 1
community 1
compounded 1
conflicting 1
confronts 1
confusion 1
considers 1
convinces 1
corners 2
costume 2
cullison 1
dates 1
decision 1
delights 1
despite 1
disappointment 1
disillusioned 1
do 1
doesnt 2
drawn 1
drops 1
drunk 1
during 1
effect 1
emmy 4
emotions 1
enigma 1
escalating 1
especially 1
estrangement 1
even 1
every 1
experienced 1
experiences 2
faith 1
falls 1
feeling 1
feelings 2
feels 2
fictional 1
finally 1
finds 1
for 7
freshman 1
friendly 1
from 2
frustrated 1
frustration 1
fulfill 1
fulfilled 1
get 1
gets 1
girls 1
go 1
goodbyes 1
goodnaturedly 1
greenwich 1
guilt 1
half 1
happens 1
has 2
have 1
having 1
he 4
hear 1
her 33
herself 2
him 4
his 2
hoists 1
hour 1
house 1
how 2
hurting 1
in 10
intense 1
intensely 1
intensity 1
intimate 1
introverted 1
is 12
it 1
jealous 1
jealousy 1
just 1
kicks 1
know 1
landon 1
laura 17
leave 1
life 1
lives 1
loses 1
love 3
loves 1
make 1
marry 1
meet 1
meets 1
men 2
middle 1
midwestern 1
most 1
movies 1
must 1
nearby 1
new 1
not 4
odds 1
of 9
off 4
often 1
older 1
on 4
one 1
only 1
or 1
other 1
out 3
outgoing 1
over 1
own 1
particularly 1
partly 1
party 1
plan 1
plays 1
pledge 1
practices 1
presence 1
president 1
promise 1
promises 1
pull 1
reach 1
realize 1
reassures 1
recent 1
relationship 4
remains 1
resolute 1
reveals 1
room 1
run 1
rushes 1
says 2
scantily 1
school 1
see 1
selfinjury 1
shares 1
she 18
sheltered 1
shoulder 1
shy 1
so 2
socially 1
some 1
something 1
sorority 5
station 3
stays 1
student 1
sure 1
surprise 1
taken 1
teaching 1
teases 1
tells 1
thanks 1
that 2
the 18
their 2
they 3
this 2
time 1
to 27
together 1
told 1
top 1
town 1
train 2
tried 1
triumphant 1
truth 1
understand 1
unemotional 1
union 1
university 2
unsure 1
upbringing 1
vacillating 1
village 1
void 1
wait 1
was 1
watch 1
way 1
well 1
what 4
when 4
whether 1
who 3
will 2
with 13
woman 1
writes 1
