9957859
/m/02py2vr
/m/02py2vr
Wilkie Collins
1864
a 24
about 1
affair 1
affections 1
after 4
again 2
airpoisoned 1
alienate 1
allan 15
allans 1
also 1
ambrose 1
an 2
and 20
are 3
armadale 4
as 4
associate 1
assumed 1
assumptions 1
at 2
attempt 1
away 1
baby 1
bashwood 2
be 3
beautiful 1
become 1
becomes 2
being 2
best 1
between 2
boat 2
book 1
both 1
bring 1
brings 1
brock 1
but 6
by 8
cabin 1
cain 1
called 1
can 1
cant 1
catherine 1
characters 4
children 1
clergymen 1
clerk 1
collins 1
colourful 1
companion 1
confession 1
conflict 1
conscience 1
consist 1
constantly 1
contributor 1
convoluted 1
cottage 1
course 1
cousin 1
cousins 1
daughter 1
death 1
deathbed 1
decimus 1
desperado 2
detective 1
discovered 1
discovers 1
distant 2
distorted 1
distortions 1
doctor 1
does 2
downward 1
dramatize 1
dream 3
drowned 1
end 1
england 1
enlivened 1
enough 1
escapes 1
estates 1
events 1
exhusband 1
extracts 1
failure 1
falls 1
family 1
farewell 1
father 3
fathers 3
feeling 1
feelings 1
filled 1
fills 1
first 1
foiled 1
for 5
foreboding 1
form 1
fortunehunter 1
friend 1
from 3
fulfilled 1
gas 1
genuine 1
given 1
goes 1
good 1
governess 1
great 1
grows 1
gwilt 1
had 1
harm 1
has 3
haunted 1
have 4
having 1
he 7
her 5
herself 3
him 3
his 10
home 1
husband 1
hypocrisies 1
impersonate 1
in 10
including 1
infatuated 1
inherits 1
interpreted 1
into 1
involving 1
irrational 1
is 17
isle 1
it 1
its 1
james 1
journal 1
justifiably 1
kept 1
killed 1
kills 1
last 1
later 1
lawyers 1
left 1
legacy 1
letter 2
letters 1
life 2
linking 1
lived 1
locked 1
looks 1
love 3
lydia 5
lydias 1
machinations 1
maid 1
major 1
majority 1
man 1
many 2
marries 1
marrying 1
midwinter 6
might 1
milroy 4
minor 1
miss 3
mistreated 1
mother 2
mr 1
mrs 2
much 2
murder 4
murdered 1
murderer 3
murderess 1
mysterious 2
name 2
named 2
narrates 1
necessarily 1
never 2
night 1
norfolk 1
not 2
note 1
novel 6
now 1
occur 1
of 28
off 1
old 1
oldershaw 1
on 5
one 1
or 3
originally 1
other 2
out 4
own 1
ozias 4
pass 1
passages 1
pedgifts 1
perceptions 1
period 1
peters 1
place 1
plans 1
plot 2
plots 1
poison 1
portrayal 1
private 1
quack 1
question 1
quite 1
rationally 1
reactions 1
readers 1
reads 1
redemption 1
reflect 1
relationship 1
rented 1
rescuing 1
resolved 1
rest 1
returns 1
rev 1
room 1
rooms 1
run 1
runs 1
same 2
sanatorium 1
scene 1
scenes 1
settles 1
she 8
ship 1
shipwreck 2
shot 1
shrewd 2
since 1
sins 1
sixteenyearold 1
so 1
society 1
some 1
sometime 1
son 5
spanish 1
spend 1
starts 1
stepfather 1
still 1
story 3
superstitiously 1
supposed 1
switched 1
take 1
takes 2
teaches 1
text 1
that 3
the 64
then 1
they 3
thirtyfive 1
this 3
thorpe 1
three 3
throughout 1
thus 1
thwarted 2
to 17
took 1
true 1
turn 1
turning 1
turns 1
twentysomething 1
two 2
unable 1
under 1
unscrupulous 1
unused 1
up 5
various 1
victim 1
villain 1
violent 1
visited 1
wandering 1
was 1
water 1
way 1
ways 1
wealth 1
weapon 1
were 1
when 1
which 3
who 5
whom 2
widow 1
with 5
writer 1
writes 1
writing 1
years 1
