22664567
/m/05zxp5p
/m/05zxp5p
Idries Shah
1971
a 3
action 1
and 4
anecdotes 1
are 2
arranged 1
arranging 1
as 1
asserts 1
author 1
between 1
book 1
books 1
brief 1
but 1
by 2
commanded 1
consists 1
contents 1
conversations 1
deliberate 1
detail 1
dwell 1
east 1
economy 1
enough 1
experientialism 1
extracts 1
flood 1
for 1
illustrate 1
in 4
including 1
is 1
it 2
legend 1
legends 1
little 1
manner 1
mingled 1
narratives 1
nasrudin 1
not 2
obsessional 1
occasional 1
of 4
on 1
preface 1
principle 1
provoke 1
questioners 1
rather 1
reader 1
recorded 1
related 1
series 1
stories 1
studies 1
subtitle 1
sufi 1
suggests 1
superficialist 1
than 1
that 2
the 10
theory 1
these 1
thinkers 2
thinking 1
thought 1
to 3
too 1
tradition 1
with 2
