5713840
/m/0f0r16
/m/0f0r16
Tamora Pierce
1986
a 18
about 2
accompanies 1
according 1
act 1
acting 1
adopted 2
adopts 1
affair 2
after 2
against 1
alanna 20
all 1
also 3
amount 1
an 1
and 31
are 2
argue 1
arrangements 1
arrive 1
as 2
asked 1
asks 3
assumes 1
at 1
attempts 1
back 1
bad 1
battle 1
bazhir 4
be 1
because 1
become 1
becomes 1
been 1
begins 3
being 1
between 1
bloody 5
book 1
boy 1
broke 1
burning 1
but 4
by 3
caynn 1
check 1
chief 3
children 1
constantly 1
consumes 1
continues 2
convinced 1
cooper 1
coram 7
corus 2
cousin 1
crazed 2
crystal 2
dark 1
darker 1
daughter 1
dead 1
decide 1
deeply 1
desert 2
dies 2
dominion 1
down 1
dreams 1
droughtstricken 1
duels 1
duke 1
during 4
encounter 1
eventually 2
evil 1
food 1
for 5
former 1
friend 2
from 2
george 3
gifted 2
girls 1
give 1
glimpses 1
go 3
gods 1
hands 1
has 3
having 1
hawk 5
he 5
head 1
hed 1
heir 1
help 1
her 15
hilt 1
him 9
his 3
home 1
how 1
in 4
inherits 1
is 7
ishak 3
it 6
its 1
jewel 1
jonathan 8
journey 1
kara 3
keeps 1
kills 3
king 1
knows 1
kourrem 4
lands 1
law 1
leave 1
leaving 1
legendary 1
lightning 1
like 1
link 1
lose 1
love 2
loved 1
made 2
magic 1
make 2
manservant 1
map 1
marry 4
master 1
must 1
myles 3
new 2
night 1
northerners 1
not 1
of 13
olau 1
old 2
on 2
one 1
or 2
over 1
pass 1
passionate 1
place 1
please 1
port 1
power 2
powers 1
prejudice 1
prince 1
provide 1
provides 1
putting 1
rather 1
rebellion 1
refuses 2
remind 1
renew 1
replace 1
required 1
rescue 1
return 2
rispah 1
rite 1
roger 1
rogue 1
rulers 1
sacred 1
sacrifice 1
saying 1
scroll 1
see 1
sees 2
selects 1
shaman 4
shamans 2
she 9
shocked 1
sir 1
slowly 1
some 1
someone 1
soon 1
sorcerer 1
sorceress 4
sorcery 1
southerners 1
spend 1
split 1
starved 1
status 1
stay 2
steals 1
stone 1
stronger 1
sudden 1
sword 3
symbols 1
takes 2
teaches 1
tells 1
terrifying 1
tests 1
that 3
the 39
their 5
them 3
there 1
they 2
think 2
thinking 1
third 1
this 1
though 1
three 1
through 2
thus 1
time 3
tired 1
to 28
together 1
tortall 1
traditional 1
train 2
training 3
trains 1
travel 1
tribe 6
tribes 2
tries 1
two 1
under 1
ungifted 1
unite 1
until 1
untold 1
up 1
village 1
villagers 1
visit 2
voice 4
wants 2
when 6
where 3
while 1
who 5
whom 1
will 4
with 7
wizard 1
woman 2
women 1
woos 1
wounds 1
years 1
