6038490
/m/0flx2_
/m/0flx2_
John Varley

1 1
a 11
able 2
accident 1
ahead 2
alicia 1
almost 1
along 1
already 1
also 1
although 1
american 3
an 1
and 15
are 4
arrive 4
as 3
astronaut 1
at 2
available 1
back 1
be 2
beach 1
begin 1
being 1
best 1
beyond 1
book 1
broussard 1
budget 1
building 1
but 1
by 2
called 1
can 1
cars 1
changed 1
china 1
chinese 4
clear 1
competing 1
control 1
controls 1
cost 1
could 1
cousin 1
crew 2
dak 2
dangerous 1
day 1
decide 1
deficient 1
device 2
disgrace 1
disseminate 1
dollars 1
drinking 1
drive 2
dumps 1
during 1
earth 2
eliminate 1
energy 1
ensure 1
era 1
exploded 1
fascinated 1
field 1
first 2
flight 1
florida 1
force 1
forced 1
form 2
formed 1
former 1
four 1
friend 1
from 2
future 1
garcia 1
genius 1
girlfriend 2
has 2
have 2
he 1
help 1
heroes 1
his 3
impenetrable 1
in 6
individual 1
invented 1
is 8
it 1
its 1
jubal 3
kelly 1
learn 1
lives 1
locate 1
man 2
manny 1
mars 3
members 1
mentally 1
million 1
mission 2
missions 2
nation 1
near 2
new 3
night 1
no 2
nonpolitical 1
novel 1
numerous 1
of 8
off 1
on 3
one 1
or 2
organization 1
out 2
over 1
partying 1
passed 1
people 1
pilot 1
plan 1
pollution 1
power 1
practical 1
prediction 1
problems 1
protagonist 1
prove 1
publicity 1
railroad 1
realize 1
red 2
rescue 1
retire 1
return 1
run 1
schedule 1
scientific 1
sending 1
separate 1
set 1
shoestring 1
should 1
silver 1
size 1
slower 1
solar 1
some 1
space 2
spaceship 1
spherical 1
squeezer 2
squeezers 1
states 1
stranded 1
succeed 1
surviving 1
system 1
take 1
tank 1
technology 3
teenager 1
teenagers 2
that 3
the 24
their 4
they 7
this 1
throughout 1
thunder 2
to 11
transit 1
travel 1
traveling 1
travis 4
trip 1
true 1
united 1
use 2
used 1
uses 1
vasimr 1
was 2
waste 1
ways 1
weapon 1
well 1
when 1
who 4
will 1
with 6
