2407323
/m/079ytb
/m/079ytb
David Mamet


a 4
act 2
action 1
all 2
allergy 1
and 2
asleep 1
attorney 1
bernard 1
boyfriend 1
brilliant 1
by 1
can 1
cast 1
client 1
comedyfarce 1
comes 1
court 1
courtroom 2
cut 1
deal 1
defense 1
difficulttocontrol 1
drama 1
drowsy 1
east 1
ends 1
eventually 1
falls 1
fastpaced 1
first 1
flamboyant 1
gentile 1
has 1
he 3
him 1
his 2
idea 1
in 7
is 2
jewish 1
judge 1
madcap 1
main 1
make 2
manic 1
meanwhile 1
medications 1
middle 2
occurs 1
of 2
often 1
original 1
over 1
plan 1
play 1
presided 1
problems 1
prosecutor 1
question 1
racial 1
repeatedly 1
second 1
slurs 1
so 2
solve 1
stripping 1
suddenly 1
swapping 1
the 14
through 1
time 1
to 3
up 2
who 1
whose 1
with 3
work 1
