2578148
/m/07p8p2
/m/07p8p2
Mary Johnston

a 13
abhor 1
absence 1
accosted 1
after 6
agree 1
all 2
allow 1
almosttoolate 1
alone 1
also 1
an 2
and 26
anniversary 1
are 9
arrest 1
as 4
at 1
attempts 1
back 3
be 3
been 2
before 2
believes 1
board 2
boat 1
brave 1
brother 1
but 6
buys 1
by 7
can 2
captain 1
captured 1
carnal 7
carries 1
carry 1
christian 1
coast 1
colonial 1
colony 1
come 1
comes 1
companions 1
company 1
crashes 2
desert 1
destroyed 1
destruction 1
diccon 3
die 1
discovered 1
edited 1
edition 1
end 1
england 2
english 3
englishmen 1
escape 1
escaping 1
eventually 2
explorer 1
fight 1
finally 1
fire 2
fleeing 1
florida 1
follows 1
for 3
forced 2
forest 1
forum 1
found 1
founding 1
fourhundredth 1
francis 1
frees 1
from 1
fruitless 1
gaol 1
girl 1
gives 1
gleefully 1
go 1
goes 1
governor 4
had 3
hardly 1
has 1
have 3
having 1
he 5
her 4
him 4
himself 2
his 3
hold 2
hostile 1
however 1
husbandtobe 1
i 1
in 7
inc 1
indeed 1
indian 2
indians 2
inform 1
information 1
intend 1
into 2
is 13
island 1
it 4
james 1
jamestown 6
jeremy 3
jocelyn 12
josh 1
kidnap 1
killed 2
king 3
kirby 1
knowing 3
lands 1
leads 1
left 1
leigh 2
little 1
live 1
long 1
lord 6
love 1
loves 1
lured 1
made 1
man 1
marriage 1
masquerade 1
massacre 1
minister 2
named 1
nantauquas 2
new 1
not 3
noticed 1
of 10
off 1
on 6
only 2
open 1
ordered 1
orders 2
peace 1
percy 2
persuasive 1
pillage 1
pirate 2
pirates 5
plan 1
play 2
pocahontas 1
poison 1
pretends 1
purposefully 1
put 1
putting 1
ralph 19
rape 1
reef 1
refuses 2
remain 1
rescued 1
rescues 1
restored 1
return 1
returning 1
reunited 1
revised 1
sarah 1
saved 1
search 3
see 1
seeing 1
seemingly 1
seems 1
separatist 1
servant 1
settlers 1
several 1
she 2
ship 6
ships 1
short 1
shot 1
sir 1
so 1
sold 1
soldier 1
spanish 1
sparrow 3
speaks 1
stabilized 1
staying 1
story 2
struggle 1
subsequently 1
take 1
taken 1
tells 1
terribly 1
thanks 1
that 10
the 35
their 3
them 2
they 7
things 1
this 1
those 1
though 3
times 1
to 30
told 1
traitor 1
trap 1
trial 1
turned 2
two 2
until 1
up 2
upon 1
virginia 1
virginian 3
vision 1
ward 1
warning 1
was 2
way 3
wean 1
week 1
when 1
where 2
who 1
wife 2
will 1
with 2
within 1
woman 1
words 1
wounded 1
wyatt 1
