6992237
/m/0g_9jn
/m/0g_9jn
Ha Jin
2004
a 37
able 2
about 1
academy 2
acquaintances 1
acts 2
administrators 1
after 2
again 3
against 2
alive 1
all 2
allegiance 1
allies 1
also 2
always 2
america 1
american 2
an 5
and 41
anonymous 1
another 1
anxiety 1
are 12
armistice 1
as 14
association 1
assume 1
assumes 1
at 3
attempt 2
attempts 1
away 1
back 2
bastion 1
battle 1
be 14
because 2
becomes 1
been 2
before 2
begin 2
behind 1
being 2
bell 2
better 4
between 1
book 1
both 2
breathing 1
bureaucratic 1
but 5
by 10
cadet 1
called 2
camp 13
camps 2
can 2
cannot 2
capital 1
captors 1
capture 3
captured 4
carried 1
carry 1
chang 1
changed 1
chapter 1
cheju 1
chief 1
children 1
china 5
chinese 7
choice 1
choose 1
chooses 2
city 1
civilians 1
cleared 2
coercion 1
college 2
comical 1
commandant 1
commissar 4
committed 1
communication 2
communism 2
communist 9
communists 6
compete 1
conduct 1
confrontation 1
confusion 1
considered 1
control 1
convince 1
coordination 1
correct 1
could 1
country 3
coup 1
creates 1
credentials 1
crossed 1
damaged 1
day 1
death 2
decision 2
declarations 1
declare 1
declares 1
dedicated 1
defection 1
delicate 1
describes 1
deserted 1
devastating 1
developed 1
died 1
different 1
difficulty 1
discovered 1
disgrace 1
dishonorable 1
dislike 1
disloyal 1
disloyalty 1
divide 1
dodd 1
due 2
during 1
earlier 1
education 2
either 1
elevate 1
emigrate 1
emissaries 1
encouraged 1
engaged 1
english 3
englishspeaking 1
enhanced 1
enjoying 1
enlist 1
enlisted 1
ensuing 1
enters 1
epiloguelike 1
erasing 1
even 2
eventual 1
eventually 7
evidence 1
except 1
explain 1
facilities 1
false 1
family 1
fault 1
fearing 1
feats 1
feel 1
fiancee 2
fight 2
final 1
finds 4
first 2
flags 1
flares 1
for 14
forces 1
forever 2
fortunately 2
forward 1
francis 1
free 1
friend 2
from 3
fuck 1
fuckus 1
fuming 1
gained 1
gains 1
gathers 1
general 2
get 2
gets 1
girl 1
give 1
giving 1
go 1
goal 1
goes 1
going 1
good 1
goods 1
graces 1
grandchildren 1
greater 1
group 2
groups 1
guerilla 1
guhjaedo 1
had 3
hand 2
handicapped 1
harder 1
has 4
having 1
he 34
hears 1
help 1
here 1
hide 1
highly 1
him 11
himself 1
his 40
historical 1
historically 1
home 4
homecoming 1
homemade 1
hope 2
hoped 1
hopefully 1
hospital 1
house 1
however 8
huangpu 3
humane 1
identity 2
if 2
important 1
impossible 1
impressed 1
in 31
inappropriate 1
incredible 1
information 1
ingenious 1
initially 1
injured 1
instance 1
instantly 1
intense 1
intention 1
into 2
is 32
island 3
isolated 1
it 7
julan 2
kept 1
kidnap 1
kidnapped 1
kidnaps 1
knew 1
knowledge 1
koje 1
korea 5
korean 3
koreans 3
kuomingtang 1
kuomintang 1
last 1
leader 1
leadership 1
learns 1
left 1
lends 1
letters 1
lieutenant 1
like 1
line 1
lingering 1
lives 1
local 1
logistical 1
longer 1
longing 1
look 1
lost 1
lowerranking 1
lowlevel 1
loyal 1
lures 1
made 4
main 1
mainland 1
major 1
make 1
makes 2
making 1
man 3
manages 1
mark 1
marked 1
marriage 1
may 1
means 1
medical 2
meeting 1
member 1
members 2
membership 1
memoir 1
men 2
methods 2
might 1
military 2
minefield 1
ming 3
mingis 1
ministrations 1
mix 1
morale 1
more 2
most 1
mother 3
motivated 1
much 1
must 1
named 1
names 1
narrator 1
national 1
nationalist 3
nationalists 5
nature 1
navigate 1
negotiations 1
networks 1
neutral 1
no 2
north 5
not 5
novel 1
now 2
oath 1
obeys 1
observers 1
of 41
officer 2
officers 3
officersincluding 1
offspring 1
often 1
old 1
on 8
once 2
one 3
opportunity 1
option 1
or 2
order 2
ordered 2
orders 2
organize 2
organized 1
originally 1
other 2
out 4
over 1
part 4
participation 1
party 5
partyand 1
passes 1
passionate 1
pawn 1
pei 6
period 2
permanently 1
pla 1
place 2
plan 1
point 1
political 2
politically 4
position 1
possible 1
pow 1
pows 1
prisoner 4
prisoners 7
processing 1
procommunist 3
procommunists 1
profession 1
pronationalist 2
pronationalists 1
propaganda 2
prosecuted 1
provocation 1
pusan 1
put 1
pyongyang 1
questioning 1
quietly 2
raise 1
raises 1
ran 1
rank 1
rather 3
reader 1
realizes 1
receive 1
recognizes 1
reduce 1
reference 1
registered 1
released 1
remaining 1
repatriated 1
repatriation 1
representative 1
required 1
reregister 1
reregisteredhis 1
reregistering 1
resist 1
resistance 1
result 1
return 5
returns 1
righthand 1
room 1
round 1
ruin 1
sacrificed 1
scoring 1
screening 2
send 1
sends 1
sent 4
separated 1
severely 1
side 8
sides 1
siding 1
signed 1
since 1
sinister 1
situation 1
skills 1
small 1
so 2
some 6
something 1
somewhat 1
son 2
soon 1
south 3
spent 1
spot 1
staff 2
stand 1
states 2
still 1
stint 1
strip 1
stunning 1
subject 2
subsequently 2
subterfuge 1
success 1
such 1
suffer 1
superiors 3
suspected 1
suspicion 2
swore 1
system 1
t 1
taint 2
tainted 2
taiwan 5
taken 1
tao 1
tattoo 3
tattooed 1
teacher 1
tension 1
tent 1
than 3
that 13
the 98
their 8
them 1
themselves 1
then 2
there 2
therefore 1
these 3
they 8
third 2
this 10
those 2
though 1
through 2
thus 2
ties 1
time 5
to 60
torture 2
towards 1
traced 1
translator 1
treason 1
treated 1
treatment 1
trust 1
trustworthiness 1
try 1
turns 1
two 2
un 2
unable 1
underground 1
unfortunately 1
unit 2
united 1
unless 1
up 1
upper 1
use 1
useful 1
very 1
victory 1
violence 2
visits 1
wants 1
war 3
was 4
weathers 1
well 2
went 1
what 1
when 4
where 2
whether 1
which 5
who 4
will 8
wish 2
with 14
witnesses 1
witnessing 1
words 1
world 1
worry 1
worthless 1
would 1
write 1
years 1
yet 1
yu 17
yuan 19
