34487989
/m/0j2690v
/m/0j2690v
Jack Gantos
2011-09-13

a 3
after 1
american 2
among 1
and 2
as 2
been 1
by 2
column 1
dead 1
during 1
elderly 1
end 1
except 1
explanations 1
father 1
fires 1
for 1
gantos 1
has 1
he 2
help 1
his 2
history 2
house 1
in 2
indirectly 1
jack 2
japanese 1
learns 1
miss 2
mother 1
murder 1
must 1
mystery 1
neighbor 1
never 1
newspaper 1
obituaries 1
of 1
other 1
place 1
pointed 1
punishment 1
rifle 1
school 1
schoolboy 1
sent 1
sniper 1
snippets 1
some 2
stay 1
summer 1
takes 1
taught 1
that 2
the 4
their 1
things 1
to 1
town 1
trophy 1
uncovers 1
volker 2
war 1
work 1
write 1
