4856032
/m/0cr61k
/m/0cr61k
Nerida Newton
2006-07
{"/m/05hgj": "Novel"}
162 1
a 5
accident 1
after 1
and 4
barren 1
bay 2
become 1
before 1
bloody 1
byron 1
closed 1
coming 1
communes 1
crossing 1
day 1
decade 1
down 1
embarks 1
fatal 1
first 1
flinch 3
for 1
founded 1
from 1
future 1
girl 1
good 1
gradually 1
has 1
healing 1
hinterland 1
hippie 1
his 1
in 3
involved 1
is 3
it 2
its 1
karma 1
land 1
last 1
later 1
living 1
moment 1
move 1
now 1
ocean 1
of 1
on 3
one 1
only 1
over 1
past 2
path 1
paths 1
present 1
recluse 1
reluctantly 1
second 1
seems 1
spotter 1
stalled 1
station 1
terms 1
terrible 1
that 2
the 7
to 2
too 1
towards 1
unable 1
unyielding 1
upon 1
was 1
whaling 1
which 1
with 2
young 1
