3155194
/m/08v_00
/m/08v_00
Poul Anderson
1971
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
160s 1
600pound 2
a 25
able 1
accent 1
actually 1
additional 1
adept 1
adventures 1
after 1
again 1
against 1
agonising 1
allied 1
along 1
alternate 1
alternative 3
although 1
amok 1
among 1
an 7
analogue 1
ancient 1
and 16
anderson 2
another 1
any 1
are 1
armband 1
army 1
as 5
aside 1
asphalt 1
at 3
attached 1
attitude 1
back 1
based 1
basic 1
be 4
been 6
book 4
both 1
bottle 1
brooms 1
but 2
by 2
cabins 1
caliphate 1
can 2
canonical 1
carpets 1
cars 1
changeling 1
church 1
clumsy 1
cold 1
college 1
comment 1
components 1
confront 1
conservation 2
continue 1
controls 1
counterculture 1
created 1
crib 1
crowded 1
daughter 1
deepen 1
degaussing 1
demon 1
demons 1
dependence 1
designed 1
dimension 1
does 1
drastic 1
each 1
either 1
elemental 1
emit 1
enclosed 1
encounter 1
encounters 1
end 1
enemies 1
enemy 2
enter 1
esoteric 1
especially 1
even 1
example 2
existence 1
facetiously 1
fall 1
far 1
features 1
fight 2
flying 3
folklore 1
for 6
forces 1
form 5
former 1
forms 1
fourleg 1
frequencies 1
from 2
fully 1
fumes 1
fylfot 1
genie 1
german 1
germany 2
given 1
gnostic 1
gnosticism 1
god 1
gone 1
gospel 2
ground 1
had 3
harnessed 1
harry 1
has 5
have 4
having 1
he 2
hearts 1
heavy 1
hell 3
her 2
him 3
himself 1
his 5
history 1
honeymoon 1
honorable 1
horrible 1
however 2
human 2
identity 1
ii 1
in 18
incarnation 1
incidentally 1
indeed 1
independent 1
instrument 1
into 2
invaded 1
invading 1
invulnerability 1
iron 1
is 7
islamic 2
isolated 1
it 3
its 1
jams 1
johannine 1
john 1
kidnapped 1
kind 1
king 1
lands 1
large 1
later 2
law 1
left 1
lets 1
liabilities 1
liaison 1
light 1
lightly 1
limited 1
lions 1
longer 1
loss 1
love 1
lycanthropy 1
magic 1
magical 2
makes 1
man 2
many 1
mass 2
matuchek 2
meet 1
metaphysics 1
military 1
mission 1
moon 1
moonlight 1
more 2
most 1
mounted 1
moustached 1
move 1
much 1
nasty 1
nazi 1
necessary 1
needs 1
never 1
new 1
no 3
nonpolluting 1
not 3
noxious 1
occupation 1
of 34
on 5
operable 1
opposable 1
or 4
order 1
original 1
originally 1
other 3
our 1
part 2
parts 1
paws 1
place 1
polarized 1
polaroid 1
potter 1
powerful 1
practical 1
prank 1
presented 1
problems 1
protagonists 2
proven 1
provides 1
published 1
rather 2
reading 1
reallife 1
reflecting 1
released 1
remain 1
remains 1
reserved 1
resurgent 1
s 1
satire 1
save 1
scientifically 1
sealed 1
second 1
secret 1
seen 1
series 1
serious 1
sight 1
silver 1
sinners 1
sky 1
slowness 1
social 2
solomon 1
some 1
speaks 1
specific 1
states 2
steven 1
stigma 1
stop 2
stories 1
strange 1
strips 1
strong 1
substitute 1
succubusincubus 1
suffer 1
summoned 1
supernatural 1
superweapon 1
symbol 1
taken 1
takes 1
taking 1
testament 1
that 3
the 39
their 4
them 1
there 2
they 2
things 1
this 3
three 2
thumbs 1
time 1
to 14
together 1
top 1
torture 1
tossed 1
traffic 1
tremble 1
turn 1
turning 1
two 1
u 1
understand 1
united 2
universe 1
unleashing 1
unlike 1
use 3
uses 1
various 2
vehicles 1
version 1
victory 1
violate 1
virginia 1
war 3
were 1
wereflash 1
weres 1
weretiger 1
werewolf 4
where 1
which 7
while 2
who 2
whole 1
why 2
widespread 1
witch 1
with 7
within 1
wolf 3
world 6
